id,DEPOT::DIPACSA,LANDFILL::RELLENO_SANITARIO,STOP::14_DE_JULIO,STOP::20_DE_NOVIEMBRE,STOP::ACEQUIAS,STOP::ACEROS,STOP::AEROPUERTO,STOP::ALAMEDAS,STOP::ALDAMA,STOP::ALFREDO_CHAVEZ,STOP::ALLENDE,STOP::ALTEC,STOP::AMAZONAS,STOP::ANTONIO_DE_MONTES,STOP::AMERICAS,STOP::AQUILES_SERDAN,STOP::ARBOLEDAS,STOP::ATENAS,STOP::AUDITORIO,STOP::AVICOLA,STOP::BACATETE,STOP::BAEZ,STOP::BARRANCAS,STOP::BATOPILAS,STOP::BRASIL,STOP::CAFETALES,STOP::CAMINO_REAL,STOP::CAMPANARIO,STOP::CAMPESINA,STOP::CAMPESTRE,STOP::CAMPO_BELLO,STOP::CAMPUS_UNIV,STOP::CARBONEL,STOP::CAROLINAS,STOP::CERRO_DE_LA_CRUZ,STOP::CHICHONTEPEC,STOP::COLINAS,STOP::COLON,STOP::CONCORDIA,STOP::CONGO,STOP::CONSTITUYENTES,STOP::CORDILLERA_I,STOP::CORDILLERA_NEGRA,STOP::COSMOS,STOP::CUAUHTEMOC,STOP::DE_LA_LLAVE,STOP::DEL_COBRE,STOP::DEPORTISTAS,STOP::DEPORTIVA,STOP::DEZA_Y_ULLOA,STOP::DIV._DEL_NORTE,STOP::DOMINICANA,STOP::DOSMIL,STOP::DOSTOIEVSKI,STOP::DUMAS,STOP::EL_QUIJOTE,STOP::EL_TORREON,STOP::ENTRONQUE,STOP::ESPERANZA,STOP::ESTRELLA,STOP::EVEREST,STOP::FCO._PORTILLO,STOP::FERRETERA,STOP::FERROCARRIL,STOP::FLORES_MAGON,STOP::FORNARINA,STOP::FUENTES_MARES,STOP::GARCIA_VALDEZ,STOP::GIRASOLES,STOP::GOMEZ_MORIN,STOP::GRUTAS,STOP::GUADALUPE,STOP::GUATEMALA,STOP::HACIENDAS,STOP::HERMES,STOP::HUANCUNE,STOP::IGLESIAS,STOP::ILLINOIS,STOP::IMPERIO,STOP::INDEPENDENCIA,STOP::INDUSTRIAL,STOP::INFONAVIT,STOP::INSURGENTES,STOP::INTERAMERICANA,STOP::ISABELLA,STOP::J._DEL_NORTE,STOP::JARDINES_DE_ORIENTE,STOP::JESUS_RENTERIA,STOP::JIMENEZ,STOP::JUAN_ESCUTIA,STOP::JUAN_PABLO_II,STOP::JUAREZ,STOP::JUVENTUD,STOP::KARIKE,STOP::KENNEDY,STOP::KIOSKO,STOP::KOP,STOP::LA_CAÑADA,STOP::LA_GALERA,STOP::LADERAS,STOP::LA_LEONA,STOP::LAS_AGUILAS,STOP::LAS_MISIONES,STOP::LENNY_ROMO,STOP::LEON,STOP::LERDO,STOP::LINCE,STOP::LLORONES,STOP::LOS_HUERTOS,STOP::LOS_LLANOS,STOP::LOS_PORTALES,STOP::LOZANO,STOP::LUCERO,STOP::MARMOL,STOP::MASCOTAS,STOP::MAJALCA,STOP::MAYA,STOP::MAYAGOITIA,STOP::MEDICINA,STOP::MELCHOR_GUASPE,STOP::MER,STOP::MERAZ,STOP::MERCURIO,STOP::MINA,STOP::MINERAL,STOP::MIRADOR,STOP::MISION,STOP::MOHINORA,STOP::MONTE_ALBAN,STOP::MONTECARLO,STOP::MONTES_AMERICANOS,STOP::MORA,STOP::NEBRASKA,STOP::NOGALES,STOP::NUEVA_ESPAÑA,STOP::OBELISCO,STOP::OCAMPO,STOP::OCHOA,STOP::OJINAGA,STOP::OJOS_AZULES,STOP::ORTIZ_DE_CAMPOS,STOP::ORTIZ_MENA,STOP::OXFORD,STOP::P._SAN_MIGUEL,STOP::PACHECO,STOP::PALMAS,STOP::PANAMA,STOP::PANORAMICO,STOP::PARQUE_DEL_MORO,STOP::PARRAL,STOP::PASCUAL_OROZCO,STOP::PASEO_DEL_REAL,STOP::PASEOS,STOP::PEMEX,STOP::PIMENTEL,STOP::PINABETE,STOP::PINOS,STOP::PLAN_DE_AYALA,STOP::PONCE_DE_LEON,STOP::PORTAL_DEL_VALLE,STOP::PRIMERO_DE_MAYO,STOP::PUERTA_DE_HIERRO,STOP::PUNTA_ORIENTE,STOP::PUNTA_ALAMILLO,STOP::QUINTA_REAL,STOP::QUINTAS,STOP::R._ALMADA,STOP::RANCHERIA,STOP::REAL_CAROLINAS,STOP::REAL_DE_MINAS,STOP::REFORMA,STOP::REVOLUCION,STOP::REYES,STOP::RINCONADA,STOP::RINCONES,STOP::RIO_AROS,STOP::ROBINSON,STOP::ROMA,STOP::ROMANZA,STOP::ROSALES,STOP::ROSARIO,STOP::SAN_AGUSTIN,STOP::SAN_ANGEL,STOP::SAN_JUDAS,STOP::SAN_MARTIN,STOP::SAN_RAFAEL,STOP::SAN_SEBASTIAN,STOP::SANTA_RITA,STOP::SANTUARIO,STOP::SEMINARIO,STOP::SAUCITO,STOP::SORBONA,STOP::TABALAOPA,STOP::TERRAGONA,STOP::TERRAZAS,STOP::TOPACIO,STOP::TRIBUNAL_POPULAR,STOP::TRILLENIUM,STOP::TRINIDAD,STOP::UNIVERSIDAD,STOP::URUGUAY,STOP::V._CARRANZA,STOP::VALLARTA,STOP::VALLE_DEL_ANGEL,STOP::VALLE_ESCONDIDO,STOP::VARSOVIA,STOP::VIALIDAD_CH-P,STOP::VICTORIA_II,STOP::VILLA,STOP::VILLA_DEL_REY,STOP::VILLA_DORADA,STOP::VILLAS_DEL_REAL,STOP::VILLAS_DEL_SOL,STOP::VISTAS_DE_SAN_GUILLERMO,STOP::VISTAS_DEL_NORTE,STOP::VISTAS_DEL_SOL,STOP::VOLVO,STOP::ZARAGOZA,STOP::ZARCO,STOP::ZOOTECNIA
DEPOT::DIPACSA,0.0,18484.7,10051.2,9549.2,5313.7,4853.5,13931.5,5319.2,8729.7,12363.6,8959.6,3433.5,11778.5,7422.6,5550.8,21035.8,4641.9,7884.7,9167.5,12198.5,17711.6,735.3,4100.4,4766.0,6115.3,5386.4,18322.9,6384.8,11098.6,8982.4,4458.6,4237.5,6877.8,5619.3,11913.5,3587.3,6591.9,4437.8,12154.2,12137.3,1700.5,4059.5,5070.1,5273.9,13017.8,9369.9,8527.3,1032.8,6392.5,7121.9,6881.0,6008.2,5735.2,5849.3,7479.1,4963.0,11606.3,22810.1,14404.8,3991.4,6716.4,15112.2,15315.3,24196.1,11257.2,8564.4,13411.0,6254.2,14709.2,7683.6,4457.6,10686.2,5357.2,9320.5,4868.1,4533.7,3549.1,19431.6,9676.4,10403.8,7362.0,2099.0,6199.8,6216.7,17567.6,3195.0,18490.0,17821.3,688.0,3084.9,13389.8,8936.8,2245.5,2794.1,15722.0,21275.8,13593.5,9982.1,15902.0,24117.1,1254.4,4447.8,7328.8,7701.7,15464.8,9682.4,7756.5,15061.6,4888.2,16419.2,6867.3,7015.6,2580.2,14660.5,17616.6,23391.3,13600.0,12907.9,5422.5,11644.1,11684.2,15922.5,7081.0,8837.8,8510.4,8418.1,14744.4,8432.9,6143.9,9136.1,7226.8,3270.8,19901.9,6590.9,13899.5,20642.4,10826.1,11776.5,9111.3,7973.6,7631.4,6069.1,2494.5,2087.8,8405.0,8313.1,5611.6,3361.0,18877.7,1346.1,5666.4,8621.7,3979.9,6210.3,3896.2,3116.4,13477.7,18069.1,5578.9,24258.1,9792.6,8176.5,22073.4,21637.7,20274.5,9359.4,15744.6,15612.9,8021.4,9043.0,7968.5,2474.1,1704.9,2733.8,9600.5,3529.9,9456.4,3669.8,15726.7,8574.5,12649.8,4919.2,6487.9,23969.7,3967.4,10463.2,4966.0,13825.6,13740.8,9806.1,4106.0,7126.2,17316.5,8338.0,13160.5,20431.3,3516.0,10546.8,3579.4,7642.7,10285.7,9271.9,4960.7,5466.3,9032.3,8108.1,13097.0,7775.9,1328.8,9259.3,1919.2,7787.1,3501.1,19785.5,13749.2,9305.7,11303.0,3680.1,13669.3,15703.7
LANDFILL::RELLENO_SANITARIO,19014.8,0.0,15444.0,11972.3,21178.2,13891.5,8402.5,21183.6,13651.5,17488.0,13881.4,19546.1,31053.4,13049.4,16169.0,18178.4,17095.6,19580.3,13960.6,16811.7,22278.4,18138.0,18907.7,18232.1,15313.0,24674.7,7049.2,15578.4,16491.5,15314.3,22798.3,22577.2,15084.1,16818.8,15254.0,17316.5,16479.9,14306.1,8367.2,31412.3,20379.8,23699.9,23409.8,13610.5,17034.6,14291.7,11205.8,17905.1,11932.7,14567.3,13826.4,16022.7,12521.6,20759.2,21918.3,21508.7,8257.3,9347.8,18971.6,15993.8,17853.7,13435.4,13991.3,19400.5,14597.6,11140.4,12087.1,13940.6,5110.8,12099.6,16605.9,16079.0,16249.4,18972.5,13843.5,17057.6,16444.0,10405.7,24072.8,13559.6,10934.6,17393.3,14823.9,12012.5,22846.1,15347.4,7216.2,15436.7,17869.8,15892.0,8691.7,9364.2,22548.0,16289.9,14045.1,18418.5,13121.6,16103.8,7974.0,19321.6,18555.8,16088.0,18120.6,21666.1,4841.7,13356.2,14726.0,19628.4,25166.7,14742.3,23881.6,12313.6,18935.1,13354.0,12821.0,40052.2,14461.4,11601.3,14899.8,14985.2,17066.1,14647.6,12461.8,12546.8,19313.0,13354.3,14742.7,22888.6,16448.0,26455.6,18095.5,15589.9,10876.1,20921.7,12592.9,37303.4,14253.7,15116.9,14033.1,18588.7,12443.3,15266.8,20168.6,17048.0,10309.8,14585.7,16229.8,16635.3,7534.0,18235.3,13740.9,23077.4,21281.3,11783.6,14987.0,15260.1,17965.7,16392.2,19813.0,19462.5,13818.2,25031.9,12370.7,12049.4,6900.5,15350.1,18165.4,13936.1,24562.6,19845.6,10607.3,16484.2,17249.2,20885.1,19291.6,15433.2,9965.9,16135.5,3511.2,10479.3,15990.2,13856.8,18960.0,21112.4,18417.6,13504.8,26535.9,5131.0,19019.2,14599.2,18030.7,17395.8,3942.5,24179.6,17209.7,15635.7,15782.7,17168.9,14998.6,12030.6,29560.7,12169.4,15137.8,18094.6,19901.1,13672.2,17585.0,10570.0,17175.8,23655.8,21087.4,22242.8,23025.9,14989.9,29562.8,17864.4,13207.7,15931.0,15734.2,20191.7
STOP::14_DE_JULIO,12070.3,15219.7,0.0,4099.4,16093.3,9104.0,11281.9,16098.7,2500.4,3133.0,2416.4,10583.9,22558.0,3565.7,5388.1,15148.6,6659.2,15770.1,1451.6,1973.5,8483.5,10309.2,8385.3,7692.9,5318.5,14683.9,15673.3,3723.3,1093.0,2496.4,13788.2,13567.1,4185.2,13008.7,2649.4,8743.2,4492.7,7156.1,9504.6,22916.9,10503.9,13253.1,14399.7,8038.6,2805.5,2826.7,3686.3,12214.1,5586.9,2956.6,4015.7,4530.4,7734.1,16949.1,18108.1,15742.6,8956.7,19545.2,5176.7,5999.3,14043.6,9225.1,8061.2,18367.9,1665.4,3466.8,7321.5,4499.9,12059.6,4375.5,12795.7,670.5,5812.9,4134.3,8271.5,6621.2,6449.4,16782.0,20262.6,3902.4,6184.9,8351.4,3980.3,7225.0,8337.0,9775.4,15840.4,10220.6,10040.9,8742.0,10740.2,5671.8,11998.3,8619.9,8880.8,15388.7,6648.7,1265.6,13252.4,21467.6,13211.8,5896.3,6147.3,18481.3,12199.8,2613.7,2870.9,5833.5,14988.6,9598.0,17646.9,4409.8,9103.9,7124.3,14967.0,34170.8,5999.3,7307.0,4729.0,4043.5,2227.9,8321.9,7674.2,3533.6,15502.8,2001.6,7143.8,19078.5,12637.8,19915.6,6103.2,6884.9,17252.3,17111.6,7495.3,31422.0,3757.3,2512.3,2020.0,14778.5,3194.2,4392.6,9645.0,9032.5,4294.5,1785.8,4851.1,6640.8,16228.2,10406.4,5063.4,19267.3,13563.7,7138.2,6268.3,7734.5,3755.2,12503.2,13747.3,21608.5,2034.7,18956.0,19423.9,18988.1,16883.4,1786.3,7106.5,9725.8,18800.9,16035.5,4588.4,10912.3,10469.0,10361.4,4453.4,8283.2,6806.8,7539.3,12461.8,4464.0,3385.6,6706.8,6208.0,18082.6,14623.1,5013.4,15066.4,10560.6,4510.1,1452.5,8052.2,5200.6,14051.5,20369.5,2980.6,17781.7,10995.1,2330.7,9426.6,3726.4,21065.3,3822.0,6615.5,6978.0,7908.8,2319.5,3374.5,4510.9,9347.0,19845.6,11112.9,18432.7,12278.3,17135.9,24528.7,3026.2,7186.7,6717.0,1705.1,5981.3
STOP::20_DE_NOVIEMBRE,10082.3,12001.8,4118.0,0.0,14804.8,6825.5,6588.0,14810.3,2297.5,5753.2,2033.6,12836.0,20147.4,3328.1,6611.5,12820.2,8163.1,13207.0,3102.1,6091.6,10543.5,9205.5,10637.4,9299.6,6380.5,13755.3,10979.5,5857.1,4890.3,5555.9,12827.5,12606.4,5408.5,10445.5,3519.1,8384.0,6758.6,5373.6,4810.8,20506.2,12755.9,13729.0,13439.0,6078.3,5299.7,2179.3,847.1,8972.6,3000.2,4846.0,4105.0,6301.4,5455.6,14385.9,15545.0,15135.4,4262.8,16327.3,7236.7,7061.3,11480.4,6896.6,7099.7,16852.7,2862.8,1306.9,5195.4,4265.0,7365.8,1989.2,10232.6,4350.1,7316.8,8252.3,6311.2,8125.1,7511.4,12088.1,17699.5,1824.7,3246.7,8460.8,5148.3,4946.5,12024.0,7815.1,11146.6,8897.9,8937.2,6959.5,6046.3,2454.0,12577.2,7357.3,7506.4,13060.2,4910.6,5383.6,8558.5,16773.7,9623.2,7155.4,8399.3,15292.8,8982.0,1621.3,5004.7,7893.5,13791.2,8203.6,17508.2,2882.5,10002.6,6444.9,10273.2,31760.1,5206.2,4692.3,4697.8,3250.3,6255.5,7528.8,5395.7,811.9,12939.6,3595.9,6350.6,16515.3,10074.6,20082.3,8374.2,6657.4,12558.5,14548.4,5683.9,29011.3,2518.9,3382.0,2990.8,12215.3,2956.5,5930.5,11897.0,8115.5,1779.2,4827.3,6531.2,7702.8,11534.3,9302.7,4130.8,16704.1,12348.8,4463.1,6054.4,6327.6,6230.8,9853.5,11787.1,16914.6,2083.3,18658.5,14730.0,14294.3,12189.6,5904.3,7350.8,7397.4,18189.3,13472.3,2264.1,8952.0,8686.5,12613.5,8571.4,6500.7,3371.8,7202.9,9243.9,1403.1,4255.3,4924.3,9238.7,15754.1,10249.4,2007.6,13869.0,7342.7,8197.1,3430.4,9098.2,7674.5,8629.0,17806.3,5474.8,13087.9,8716.6,6448.7,7466.4,2199.2,18654.6,434.6,5768.9,9230.0,10179.8,3913.8,5850.1,1637.5,8243.3,17282.4,13364.9,15869.5,13055.1,12442.0,22118.1,7144.2,3087.4,6998.5,3999.3,8456.8
STOP::ACEQUIAS,5694.8,21344.2,16315.8,15728.0,0.0,7096.1,17361.0,253.1,15699.8,16519.5,15929.7,7589.5,10347.7,12372.3,11148.0,26403.5,9380.8,2907.9,16008.9,16354.4,21867.6,4818.0,8256.3,8921.9,11447.2,3969.0,21752.5,13081.9,17434.6,14314.3,6878.8,6657.7,12209.7,4634.1,19009.7,8926.0,12343.8,8529.6,15583.7,10706.6,6025.1,5067.5,4632.0,7879.3,17173.8,16340.0,14141.5,5633.7,10673.0,12453.7,11830.6,12956.4,8530.2,535.5,2572.2,578.1,15035.8,25669.7,18560.8,9878.2,3683.6,20772.8,20975.8,27625.6,18353.4,14054.3,19071.6,11203.8,18138.8,13743.6,5515.3,16950.8,10680.5,13476.5,7193.8,9856.9,9436.0,22861.1,3426.8,16666.5,11577.2,7804.2,11531.6,9011.7,21723.6,6141.6,21919.5,22774.1,5158.7,7080.9,16819.3,12552.2,5553.6,7394.9,21382.5,26643.6,20088.6,15637.5,19331.5,27546.7,4503.0,10334.6,11484.7,1453.5,18324.4,16037.1,13088.4,19217.6,4461.0,22079.7,3357.3,11657.6,7319.1,20321.0,21046.1,21960.5,19954.7,18568.4,10023.3,17998.8,15840.2,21614.6,9876.1,15100.4,3533.6,15402.5,21099.1,2183.4,5345.8,5672.8,11382.7,7871.6,23331.4,1614.1,19560.0,19211.7,17180.8,18872.7,16081.3,2996.8,14491.6,11401.0,6655.0,6688.6,13245.5,13645.0,12364.0,9247.9,22307.3,5661.3,10616.0,2372.2,2499.8,9285.6,8497.0,7717.3,17633.6,23729.6,1521.0,27687.6,16147.3,4071.2,25503.0,25067.2,22962.5,14691.3,22099.3,21273.5,3916.6,4066.2,11043.8,4325.9,5132.6,6894.8,13756.5,7274.8,12885.9,8270.7,18586.3,13415.0,19746.0,9199.8,10643.8,29337.5,3144.8,16725.9,4020.0,16685.1,17896.7,16647.5,9487.9,11282.2,20176.0,3533.6,17316.5,23860.8,5230.9,14702.7,5812.2,14078.8,8855.0,15925.2,9632.5,9622.2,13188.3,15720.4,17252.9,13483.9,6940.0,3009.8,6080.3,1537.6,7106.4,23215.0,12318.4,13461.6,16963.5,8280.9,17825.3,19859.7
STOP::ACEROS,4933.7,14189.0,9810.0,7054.2,7146.5,0.0,10205.7,7151.9,8017.5,11769.7,8247.4,7080.4,16658.7,7454.1,6891.6,19248.3,7818.1,7051.4,8326.5,10610.3,17120.2,4573.4,6501.6,6270.9,6035.5,10279.9,14597.2,7725.5,10857.4,8902.6,8608.6,8387.4,6798.0,3014.4,10335.9,4827.4,8019.5,3233.0,8428.5,17017.5,6098.9,9510.1,9220.1,2574.5,12116.5,8657.6,6287.7,4325.2,5261.4,7042.1,6419.0,7348.9,1493.0,6727.5,7523.5,7477.0,7880.5,18514.4,13813.5,5355.1,4111.5,12099.0,12302.0,20470.4,9679.6,6222.4,10397.8,5792.2,10983.5,6061.3,2809.3,10445.0,6971.9,9717.3,1954.3,7780.1,4789.2,15705.8,9678.0,8641.5,3636.2,4684.6,6120.0,1974.5,16973.8,1646.7,14764.2,14100.3,4305.1,1843.8,9664.0,5797.6,8358.3,2936.7,12708.7,19488.3,11414.8,9902.4,12176.2,20391.4,4991.1,6810.5,8806.6,6870.8,11169.1,8438.2,7676.8,14470.2,9908.6,13405.9,9486.8,5797.0,5406.3,11647.2,13890.9,28271.4,12023.0,9894.6,5622.3,10067.1,10864.7,12940.8,2838.9,7418.1,6784.0,7720.2,13167.5,8573.9,3539.0,12060.8,9592.0,3413.4,16176.2,6635.3,10886.2,25522.6,9335.7,10198.9,8399.0,4868.0,6809.3,5989.3,6141.5,3569.0,5391.8,8233.4,6952.4,4601.1,15152.0,4423.5,5204.4,8762.7,7956.6,2577.8,3761.8,2814.2,13047.6,15055.8,5623.3,20532.3,8465.0,10637.1,18347.7,17911.9,15807.2,9279.7,14167.6,12599.7,10167.8,7316.7,4798.9,2783.5,3548.4,6815.8,10675.6,2037.7,5730.6,3620.3,11431.0,5561.3,11072.2,3788.1,7990.7,22182.2,4227.8,8586.7,9770.3,9529.9,13146.9,8965.2,5642.6,8935.4,13020.8,9784.9,12291.6,16705.6,1891.2,10967.5,1297.9,6396.5,15165.9,7251.4,4327.7,8817.1,11397.5,8038.1,12666.9,5652.0,3611.1,9261.0,8885.0,7848.0,8836.2,16059.7,18629.4,10387.3,8289.7,3822.7,10816.1,15273.7
STOP::AEROPUERTO,14792.6,8165.4,10622.9,6914.3,17401.8,10115.1,0.0,17407.2,10017.5,11750.8,8889.1,15836.0,27277.0,9454.1,12458.9,10113.0,13385.5,15803.9,10326.6,12767.4,16503.1,13915.8,15197.6,14521.9,11602.8,20898.2,4454.4,11983.2,10985.0,11680.3,19021.9,18800.8,11374.0,13042.4,9401.2,13606.3,12884.6,10083.8,2250.0,27635.8,15355.7,19923.5,19633.4,9834.1,11163.2,9034.8,7279.3,13682.9,8222.5,10972.1,10231.1,12427.5,8745.2,16982.8,18141.9,17732.3,2475.9,12490.9,13236.6,12283.7,14077.3,5369.9,5925.9,11335.1,8957.5,7739.0,4021.6,10230.5,3508.8,8061.3,12829.5,10674.9,12539.2,15650.0,10067.0,13347.4,12733.8,6570.5,20296.4,7144.3,7158.2,13171.1,11113.8,8236.1,18021.7,11571.0,4621.4,7371.2,13647.5,11669.7,626.3,5916.1,18771.6,12067.6,5979.6,10353.0,5056.1,11888.5,2033.4,11256.1,14333.5,12377.8,14525.4,17889.7,9524.0,8238.6,11130.8,13853.1,21390.3,6676.8,20105.1,8603.5,15225.0,5288.5,4755.6,38889.8,6395.9,3535.9,11189.6,6708.2,12253.2,6582.1,8685.3,7488.8,15536.6,9720.2,6677.3,19112.2,12671.6,22679.2,14500.3,11367.6,7040.9,17145.3,4527.5,36140.9,7379.7,8553.4,9608.1,14812.3,8809.3,11556.7,16458.5,12825.7,6987.1,10951.6,12657.2,12925.2,5009.2,14347.8,10030.7,19301.0,18370.0,8007.2,10764.7,11037.8,12112.9,8326.8,16036.6,11397.0,8745.2,21255.4,9775.9,9454.6,5664.4,11716.1,10099.9,5870.6,20786.2,16069.2,6974.9,12707.8,13472.7,17175.0,15969.1,11211.0,4782.8,11913.2,8110.6,6423.6,8172.9,9634.6,15364.7,13047.0,14641.1,6427.9,22759.5,8347.6,14194.8,9935.3,14320.6,13800.5,4374.7,20403.2,11472.5,7570.3,12006.2,12953.6,11222.2,8396.5,25784.3,7111.5,10357.9,14384.4,16305.8,10038.1,11732.2,7247.4,12953.5,19879.4,19298.3,18466.4,19249.5,6924.4,29247.7,13649.1,4824.4,11708.8,10094.0,14339.0
STOP::ALAMEDAS,5506.0,21376.3,16127.0,15760.1,32.1,7128.2,17393.1,0.0,15731.9,16330.7,15961.8,7400.7,10380.1,11834.6,10959.2,26435.6,9192.0,2939.9,16041.0,16165.6,21678.8,4629.2,8067.5,8733.1,10527.3,4001.3,21784.5,12893.1,17245.9,13394.4,4860.6,4639.4,11289.8,4666.2,19041.8,8737.2,12155.0,8561.7,15615.8,10738.9,5836.3,4878.7,4443.2,7911.4,16985.0,16372.1,14173.6,5444.9,10705.1,11533.9,11293.0,12767.6,8562.3,567.6,2604.5,389.3,15067.9,25701.8,18372.0,9689.4,3715.7,20804.8,21007.9,27657.7,18385.5,14086.4,19103.6,10666.2,18170.8,13775.7,5547.4,16762.0,10491.7,13287.7,7225.9,9668.1,9247.2,22893.2,3459.2,16698.6,11609.3,7615.4,10611.8,9043.8,21534.8,6173.7,21951.6,22806.2,4969.9,7113.0,16851.4,12584.3,5364.8,7206.1,21414.6,26675.7,20120.7,15448.7,19363.6,27578.8,4314.3,10145.8,11296.0,1485.9,18356.5,16069.2,12168.6,19028.8,3753.4,22111.8,3389.6,11689.7,7130.3,20353.1,21078.2,21992.9,19986.8,18600.5,9834.5,18030.9,15651.4,21646.7,9908.2,15132.5,3565.7,15434.6,21131.2,2215.8,5377.9,5705.2,11193.9,7682.8,23363.5,1646.2,19592.1,19244.0,17212.8,18904.8,16113.4,3028.9,14523.7,10481.1,6466.2,6499.8,13277.6,12725.1,11444.2,9059.1,22339.4,5693.4,10078.4,2404.6,2311.0,9317.7,8308.2,7528.5,17444.8,23761.7,1553.0,27719.7,16179.4,4103.6,25535.1,25099.3,22994.6,13771.4,22131.4,21305.6,3949.0,4098.3,11075.9,4358.0,5164.7,6706.1,13567.7,7306.9,12918.0,8081.9,18618.4,13447.1,19778.1,9231.9,10455.0,29369.6,3176.9,16758.0,3831.2,16717.2,17707.9,16679.6,9299.1,11093.4,20208.1,3566.0,17127.7,23892.9,5263.0,14513.9,5844.3,14110.9,8887.3,15957.3,9372.7,9433.4,12999.5,12520.1,17064.1,13516.0,5904.7,3042.1,5891.5,1569.9,5088.1,23247.1,12350.8,13272.8,16995.6,8092.1,17636.5,19670.9
STOP::ALDAMA,9737.6,12433.8,3097.6,2058.6,15355.1,7257.5,8421.6,15360.5,0.0,5417.9,229.9,11417.9,19802.6,2740.9,6009.6,13720.7,7465.2,13757.2,887.6,5071.1,10208.2,8860.8,9219.3,8601.7,5682.6,13410.6,12813.1,4113.0,4190.6,3362.3,12482.8,12261.6,4806.7,10995.7,3183.8,7686.1,4882.4,5702.4,6644.4,20161.5,11337.9,13384.3,13094.3,6542.3,4964.5,640.2,1499.8,8627.9,3329.0,3346.3,3609.5,4883.4,5887.6,14936.1,16095.2,15685.6,6096.4,16759.3,6901.4,6363.4,12030.6,7797.1,6932.1,16939.9,2527.5,1280.3,5893.5,3663.2,9199.4,2246.3,10782.8,3329.6,6618.9,7231.9,6775.2,7427.2,6813.5,13921.7,18249.7,2392.6,3678.7,8715.4,4546.5,5378.5,10249.0,8279.1,12980.2,9091.6,8592.5,7288.3,7879.9,2886.0,12232.5,7012.6,7751.8,13960.7,5220.7,4363.2,10392.1,18607.3,9278.5,6457.5,6981.3,15843.0,9414.0,952.7,3260.7,7558.2,13446.5,8469.0,18058.4,2280.7,9304.7,5995.2,12106.8,31415.4,4870.3,5842.5,4095.9,2914.4,5325.5,7192.8,5827.8,1347.1,13489.9,1402.3,6014.7,17065.5,10624.9,20632.5,6956.1,6488.7,14392.1,15098.6,6067.3,28666.6,2096.4,3046.8,381.6,12765.6,2096.1,5014.1,10478.9,7770.7,2108.0,2633.7,5113.1,7004.9,13367.9,8958.0,3528.9,17254.3,12004.0,4887.9,5885.8,6286.0,5895.5,10754.0,12251.0,18748.2,1062.9,19208.7,16563.6,16127.9,14223.7,4883.8,7014.9,8297.8,18739.5,14022.5,2575.5,9416.0,9015.3,11195.4,7551.0,6829.6,3946.6,6531.1,9675.9,2277.5,3920.1,5253.2,6902.6,16654.6,10713.4,2972.6,13524.2,7774.7,6422.1,1300.6,8400.3,5798.3,11265.6,18356.5,5139.5,14921.5,9148.7,5428.3,7930.4,1597.3,18309.9,1781.3,5167.0,7812.0,8761.7,1720.2,5514.8,1966.4,7898.5,17832.7,11946.9,16419.7,12710.3,14275.6,21773.3,6123.7,5005.9,6326.7,3664.0,8121.6
STOP::ALFREDO_CHAVEZ,13392.3,18156.2,4155.7,6154.4,17415.3,12544.3,12324.0,17420.7,5554.1,0.0,5212.7,11905.9,23880.0,7025.6,8319.0,19370.3,9472.2,19862.3,4281.1,2579.7,5347.6,14848.7,9707.3,9014.8,9190.9,16005.8,16715.5,7515.8,2136.5,5351.7,15110.2,14889.1,7040.4,17596.9,3204.1,10065.2,6715.2,10011.4,10965.2,24238.8,11825.8,14575.1,15721.7,10893.8,1693.7,5931.1,7001.5,13536.0,8758.5,5811.8,6871.0,7688.0,11174.5,17950.8,19456.8,17064.5,10417.2,22481.7,2040.9,9905.2,18694.1,10915.1,11770.5,22589.6,3397.8,7187.0,9011.4,7355.2,13520.2,7835.4,16255.6,3082.7,8644.6,5456.3,11126.8,8980.8,10920.3,17809.1,21611.3,5957.4,9401.1,13176.3,6835.6,10665.4,7833.9,12630.7,16882.5,13174.0,14115.4,11597.3,11936.2,8608.3,13320.2,12256.4,12590.1,19610.4,8338.7,3444.3,14294.5,22494.7,14533.8,9326.5,7469.2,19803.2,15136.4,5098.6,5726.2,2697.6,16310.6,12551.4,18968.8,7869.7,10425.9,8814.2,15994.1,35492.8,7689.3,8997.0,7584.3,5733.4,2065.4,11275.2,11114.6,6116.8,20488.0,5558.0,10568.2,20534.5,16097.7,21237.6,7425.2,11747.0,18279.4,18568.5,9185.2,32743.9,5549.1,4202.3,4816.3,18238.4,6654.1,7247.9,10966.9,12669.0,7933.6,4641.1,8513.7,10732.2,17270.3,14557.8,7918.7,20723.3,14885.7,9993.5,9123.6,12578.8,1114.1,15456.5,17556.5,23458.3,4931.1,20278.0,20451.0,20015.2,17925.5,4641.5,10913.1,11415.8,20122.9,19495.4,8048.3,15677.0,14917.1,11683.4,5775.4,11138.5,9526.2,11308.3,15398.3,7557.5,5075.6,9562.1,7530.0,22304.3,15945.0,7266.4,16388.4,13497.1,4007.0,4375.7,9374.2,6522.5,14783.4,20439.6,796.9,18808.8,18193.8,3651.1,12281.9,7186.3,22387.2,5877.1,9470.7,8300.0,9230.8,5583.1,733.4,7791.9,13421.4,21194.2,12434.9,19888.7,13600.3,18163.0,25850.7,4346.6,8778.7,11565.0,2225.7,3340.1
