stage,population_size,mutation_rate,tournament_k,nn_seed_fraction,two_opt_max_passes,total_seconds,total_meters,total_dumps,trucks_used,wall_seconds
stage1_nn_seed_and_2opt,100,0.15,4,0.0,0,238364,2619455.1,28,10,60.34695516899956
stage1_nn_seed_and_2opt,100,0.15,4,0.0,1,157350,1276869.1999999997,28,6,60.42365147599958
stage1_nn_seed_and_2opt,100,0.15,4,0.0,2,156733,1260840.4,28,6,60.3749280940001
stage1_nn_seed_and_2opt,100,0.15,4,0.0,3,157613,1285934.8,28,6,60.322624456000085
stage1_nn_seed_and_2opt,100,0.15,4,0.25,0,157336,1265251.6,28,6,60.46410677499989
stage1_nn_seed_and_2opt,100,0.15,4,0.25,1,157032,1264049.9000000001,28,6,60.869897882999794
stage1_nn_seed_and_2opt,100,0.15,4,0.25,2,156352,1249941.4,28,6,61.24535171499974
stage1_nn_seed_and_2opt,100,0.15,4,0.25,3,156266,1246100.5,28,6,61.62337916499928
stage1_nn_seed_and_2opt,100,0.15,4,0.5,0,156031,1265169.3,28,6,60.76245002900032
stage1_nn_seed_and_2opt,100,0.15,4,0.5,1,156584,1261687.8,28,6,61.30562551999992
stage1_nn_seed_and_2opt,100,0.15,4,0.5,2,156392,1248938.7,28,6,62.00549090000004
stage1_nn_seed_and_2opt,100,0.15,4,0.5,3,155679,1240779.9000000001,28,6,62.626045707999765
stage1_nn_seed_and_2opt,100,0.15,4,0.75,0,157210,1280524.0,28,6,60.81475319200035
stage1_nn_seed_and_2opt,100,0.15,4,0.75,1,156580,1270412.3,28,6,62.03279361100067
stage1_nn_seed_and_2opt,100,0.15,4,0.75,2,155810,1242182.9000000001,28,6,62.74521048299903
stage1_nn_seed_and_2opt,100,0.15,4,0.75,3,155949,1247831.3,28,6,63.76245533400106
stage1_nn_seed_and_2opt,100,0.15,4,1.0,0,156584,1269557.6,28,6,61.01553109000088
stage1_nn_seed_and_2opt,100,0.15,4,1.0,1,156083,1250009.0999999999,28,6,62.38832491500034
stage1_nn_seed_and_2opt,100,0.15,4,1.0,2,156105,1240985.3,28,6,63.7246596290006
stage1_nn_seed_and_2opt,100,0.15,4,1.0,3,155398,1239655.9,28,6,65.13359984999988
stage2_population_mutation_tournament,60,0.05,3,1.0,3,156143,1248545.2,28,6,63.10930569700031
stage2_population_mutation_tournament,60,0.05,4,1.0,3,155989,1252780.5,28,6,63.25325513600001
stage2_population_mutation_tournament,60,0.05,5,1.0,3,156245,1253311.0000000002,28,6,63.0831502559995
stage2_population_mutation_tournament,60,0.15,3,1.0,3,155590,1242951.0,28,6,63.28847948300063
stage2_population_mutation_tournament,60,0.15,4,1.0,3,155670,1239013.5,28,6,63.04986825500055
stage2_population_mutation_tournament,60,0.15,5,1.0,3,155242,1236043.2,28,6,63.328754307000054
stage2_population_mutation_tournament,60,0.25,3,1.0,3,156230,1253958.0999999999,28,6,63.08282587099893
stage2_population_mutation_tournament,60,0.25,4,1.0,3,155574,1243172.5,28,6,63.04269464900062
stage2_population_mutation_tournament,60,0.25,5,1.0,3,155815,1246679.9,28,6,63.20486710000114
stage2_population_mutation_tournament,100,0.05,3,1.0,3,155664,1244959.4,28,6,65.21418993899897
stage2_population_mutation_tournament,100,0.05,4,1.0,3,155840,1244025.7,28,6,65.3552235390016
stage2_population_mutation_tournament,100,0.05,5,1.0,3,155887,1248294.1,28,6,65.06053773399981
stage2_population_mutation_tournament,100,0.15,3,1.0,3,155864,1243120.2,28,6,65.04538418000084
stage2_population_mutation_tournament,100,0.15,4,1.0,3,155398,1239655.9,28,6,65.33999476499957
stage2_population_mutation_tournament,100,0.15,5,1.0,3,156027,1249065.0000000002,28,6,64.92437815099947
stage2_population_mutation_tournament,100,0.25,3,1.0,3,156238,1252978.1,28,6,65.06999492499926
stage2_population_mutation_tournament,100,0.25,4,1.0,3,155619,1243896.9000000001,28,6,65.35238624200065
stage2_population_mutation_tournament,100,0.25,5,1.0,3,156269,1255860.4000000001,28,6,64.89388553999925
stage2_population_mutation_tournament,150,0.05,3,1.0,3,156267,1246002.9000000001,28,6,67.83980862499993
stage2_population_mutation_tournament,150,0.05,4,1.0,3,155534,1233490.0,28,6,67.71668968700033
stage2_population_mutation_tournament,150,0.05,5,1.0,3,155795,1243306.3,28,6,67.81554462900021
stage2_population_mutation_tournament,150,0.15,3,1.0,3,155601,1244599.6,28,6,67.61361371199928
stage2_population_mutation_tournament,150,0.15,4,1.0,3,156205,1254029.0,28,6,67.92322519300069
stage2_population_mutation_tournament,150,0.15,5,1.0,3,156090,1248161.9000000001,28,6,68.1243370309985
stage2_population_mutation_tournament,150,0.25,3,1.0,3,155933,1239788.5999999999,28,6,68.0811759320004
stage2_population_mutation_tournament,150,0.25,4,1.0,3,156372,1252491.8,28,6,67.99025206099941
stage2_population_mutation_tournament,150,0.25,5,1.0,3,156278,1249416.9,28,6,67.79628637999849
