tienda,direccion,ciudad,latitud,longitud
14 DE JULIO,"CALLE 14 DE JULIO NO. 2800 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.62223716,-106.0930423
20 DE NOVIEMBRE,"AV. 20 DE NOVIEMBRE # 2512, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63689153,-106.0632224
ACEQUIAS,"BOULEVARD JUAN PABLO II Y CALLE 85a NO. 8305, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72530256,-106.1226076
ACEROS,"AV. HEROICO COLEGIO MILITAR NO. 7508, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68922126,-106.0843016
AEROPUERTO,"CALLE 77a NO. 7502, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64917687,-106.0113213
ALAMEDAS,"AV. DOSTOIEVSKI NO. 900, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72523459,-106.1225828
ALDAMA,"AV. OCAMPO NO. 412-A ESQ. CON CALLE ALDAMA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63412367,-106.0778421
ALFREDO CHAVEZ,"CALLE RIO PAPALOAPAN # 8201, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60595988,-106.1027413
ALLENDE,"AV. OCAMPO NO. 1200 Y CALLE ALLENDE, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63262302,-106.076215
ALTEC,"PERIF. DE LA JUVENTUD NO. 8125, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67520577,-106.1351785
AMAZONAS,"AV. RIO AMAZONAS Y RIO YUKON, CHIHUAHUA, MEXICO",CHIHUAHUA,28.77723567,-106.1674538
ANTONIO DE MONTES,"ANTONIO DE MONTES, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64289898,-106.0854405
AMERICAS,"AV. DE LAS AMERICAS Y CALLE COLOMBIA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65339255,-106.1156659
AQUILES SERDAN,"KM. 12+800  CARR. CHIHUAHUA-DELICIAS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.58623818,-105.960646
ARBOLEDAS,"CALLE MILANO 1823 ESQ. CALLE PELICANO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66160483,-106.1178753
ATENAS,"VIALIDAD LOS NOGALES S/N FRACC ATENAS ETAPA IV, CHIHUAHUA, MEXICO",CHIHUAHUA,28.73377083,-106.100252
AUDITORIO,"AV. CUAUHTEMOC  NO. 2038, CHIHUAHUA, MEXICO",CHIHUAHUA,28.62930289,-106.0826092
AVICOLA,"LATERAL ORTIZ MENA NO. 3815, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61471463,-106.1057809
BACATETE,"AV. SILVESTRE TERRAZAS NO. 14403, CHIHUAHUA, MEXICO",CHIHUAHUA,28.57215661,-106.1372336
BAEZ,"AV. TECNOLOGICO NO. 11101 Y CALLE EUSEBIO BAEZ, CHIHUAHUA, MEXICO",CHIHUAHUA,28.69663565,-106.1191798
BARRANCAS,"LAT DE LA JUVENTUD 7519, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67043594,-106.1329592
BATOPILAS,"CALLE BARRANCA DE BATOPILAS NO. 3601, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66508565,-106.1315313
BRASIL,"AV. DE LAS AMERICAS NO. 810, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65630429,-106.1076007
CAFETALES,"AV. CIRCUITO VIAL NORTE NO. 401, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72189931,-106.1481885
CAMINO REAL,"AV. EQUUS Y CALLE DEL CASPIO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66783757,-105.9888662
CAMPANARIO,"AV. MIRADOR NO. 4731 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.64406494,-106.1101527
CAMPESINA,"CALLE MIGUELITOS ESQ. CALLE ESTHERES NO. 4409, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61509241,-106.0979352
CAMPESTRE,"CALLE MONTANA NO. 2229, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63516786,-106.1050063
CAMPO BELLO,"AV. CAMPO BELLO , RETORNO GLORIETA NO. 5408, CHIHUAHUA, MEXICO",CHIHUAHUA,28.70004403,-106.1426492
CAMPUS UNIV,"AV. CAMPO DEL NORTE NO. 10145 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.70218091,-106.1423129
CARBONEL,"CALLE CARBONEL # 4510, CHIHUAHUA, MEXICO",CHIHUAHUA,28.6518927,-106.1039661
CAROLINAS,"CALLE MONTEALBAN  NO. 4337, CHIHUAHUA, MEXICO",CHIHUAHUA,28.71303938,-106.0919447
CERRO DE LA CRUZ,"AV. 20 DE NOVIEMBRE NO. 5617 Y CALLE 58, CHIHUAHUA, MEXICO",CHIHUAHUA,28.61108749,-106.0826398
CHICHONTEPEC,"CALLE IZALCO NO. 1200 ESQ. CALLE  CHICHONTEPEC, CHIHUAHUA, MEXICO",CHIHUAHUA,28.66876152,-106.1171358
COLINAS,"AV. MIRADOR Y WASHINGTON, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64585741,-106.1171216
COLON,"AV. TECNOLOGICO NO. 5114, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67079246,-106.0954965
CONCORDIA,"CONCORDIA, CHIHUAHUA, MEXICO",,28.64978069,-106.0285218
CONGO,"C. RIO DANUBIO , CHIHUAHUA, MEXICO",CHIHUAHUA,28.78140722,-106.1689861
CONSTITUYENTES,"AV. DE LA JUVENTUD (LUIS DONALDO COLOSIO) ESQ CON CALLE IGNACIO RODRIGUEZ NO. 9512, CHIHUAHUA, MEXICO",CHIHUAHUA,28.68927598,-106.1321363
CORDILLERA I,"CORDILLERA BLANCA #6032, CHIHUAHUA, MEXICO",CHIHUAHUA,28.70208006,-106.1491597
CORDILLERA NEGRA,"CODILLERA NEGRA Y CORDILLERA ANDINA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.7049327,-106.1492704
COSMOS,"CALLE SICOMORO Y  CALLE COSMOS, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67365748,-106.090989
CUAUHTEMOC,"CALLE 80 Y CORONADO # 7809, CHIHUAHUA, MEXICO",CHIHUAHUA,28.60515382,-106.0954346
DE LA LLAVE,"CALLE 12 #1801 COL. CENTRO, CHIHUAHUA, MEXICO",CHIHUAHUA,28.63013945,-106.0754977
DEL COBRE,"MARIANO ABASOLO NO. 2525, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64195325,-106.0680843
DEPORTISTAS,"AV. TECNOLOGICO NO. 9911 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.69208234,-106.1148913
DEPORTIVA,"AV. TECNOLOGICO NO. 2110, CHIHUAHUA, MEXICO",CHIHUAHUA,28.65598321,-106.0784724
DEZA Y ULLOA,"CALLE DEZA Y ULLOA NO. 3928, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64442662,-106.0997687
DIV. DEL NORTE,"AV. DIVISION DEL NORTE  #800 , CHIHUAHUA, MEXICO",CHIHUAHUA,28.64502653,-106.0919398
DOMINICANA,"AV. LA CANTERA NO. 6300 ESQ. REP. DOMINICANA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.64756228,-106.112833
DOSMIL,"AV. HEROICO COLEGIO MILITAR NO. 590, CHIHUAHUA, MEXICO",CHIHUAHUA,28.67710391,-106.0798289
DOSTOIEVSKI,"AV. DOSTOIEVSKI Y OTILIA GARCIA DE NEYRA, CHIHUAHUA, MEXICO",CHIHUAHUA,28.72698074,-106.1178693
