truck,seq,id,tienda,tipo,arrival_seconds,load_after_cbm,meters
0,0,STOP::CONSTITUYENTES,CONSTITUYENTES,STOP,215,0.9,1632.5
0,1,STOP::VILLA_DORADA,VILLA DORADA,STOP,505,1.8,1919.2
0,2,STOP::RINCONADA,RINCONADA,STOP,765,2.7,2880.5
0,3,STOP::OXFORD,OXFORD,STOP,1042,3.6,3115.6
0,4,STOP::ALTEC,ALTEC,STOP,1272,4.5,4511.6
0,5,STOP::BARRANCAS,BARRANCAS,STOP,1523,5.4,4460.7
0,6,STOP::BATOPILAS,BATOPILAS,STOP,1791,6.3,5204.6
0,7,STOP::GUATEMALA,GUATEMALA,STOP,2143,7.2,5314.1
0,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,3499,0.0,19014.8
0,9,STOP::R._ALMADA,R. ALMADA,STOP,5754,0.9,17073.3
0,10,STOP::ZOOTECNIA,ZOOTECNIA,STOP,6155,1.8,15613.9
0,11,STOP::ZARCO,ZARCO,STOP,6593,2.7,14135.9
0,12,STOP::FLORES_MAGON,FLORES MAGON,STOP,6848,3.6,13735.7
0,13,STOP::MINA,MINA,STOP,7216,4.5,9581.4
0,14,STOP::GOMEZ_MORIN,GOMEZ MORIN,STOP,7551,5.4,8197.3
0,15,STOP::INDUSTRIAL,INDUSTRIAL,STOP,7860,6.3,8256.3
0,16,STOP::ROBINSON,ROBINSON,STOP,8193,7.2,10400.2
0,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,9127,0.0,19014.8
0,18,STOP::V._CARRANZA,V. CARRANZA,STOP,10884,0.9,9904.9
0,19,STOP::SAN_RAFAEL,SAN RAFAEL,STOP,11197,1.8,11206.8
0,20,STOP::INDEPENDENCIA,INDEPENDENCIA,STOP,11464,2.7,10908.3
0,21,STOP::ALLENDE,ALLENDE,STOP,11819,3.6,9959.1
0,22,STOP::DE_LA_LLAVE,DE LA LLAVE,STOP,12029,4.5,10465.6
0,23,STOP::PRIMERO_DE_MAYO,PRIMERO DE MAYO,STOP,12263,5.4,10633.0
0,24,STOP::LERDO,LERDO,STOP,12496,6.3,10460.9
0,25,STOP::DEL_COBRE,DEL COBRE,STOP,12847,7.2,9614.4
0,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,13927,0.0,19014.8
