id,tienda,tipo,latitud,longitud
DEPOT::DIPACSA,DIPACSA,DEPOT,28.6922378,-106.1213322
LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,28.69977987,-106.033041
STOP::14_DE_JULIO,14 DE JULIO,STOP,28.62223716,-106.0930423
STOP::20_DE_NOVIEMBRE,20 DE NOVIEMBRE,STOP,28.63689153,-106.0632224
STOP::ACEQUIAS,ACEQUIAS,STOP,28.72530256,-106.1226076
STOP::ACEROS,ACEROS,STOP,28.68922126,-106.0843016
STOP::AEROPUERTO,AEROPUERTO,STOP,28.64917687,-106.0113213
STOP::ALAMEDAS,ALAMEDAS,STOP,28.72523459,-106.1225828
STOP::ALDAMA,ALDAMA,STOP,28.63412367,-106.0778421
STOP::ALFREDO_CHAVEZ,ALFREDO CHAVEZ,STOP,28.60595988,-106.1027413
STOP::ALLENDE,ALLENDE,STOP,28.63262302,-106.076215
STOP::ALTEC,ALTEC,STOP,28.67520577,-106.1351785
STOP::AMAZONAS,AMAZONAS,STOP,28.77723567,-106.1674538
STOP::ANTONIO_DE_MONTES,ANTONIO DE MONTES,STOP,28.64289898,-106.0854405
STOP::AMERICAS,AMERICAS,STOP,28.65339255,-106.1156659
STOP::AQUILES_SERDAN,AQUILES SERDAN,STOP,28.58623818,-105.960646
STOP::ARBOLEDAS,ARBOLEDAS,STOP,28.66160483,-106.1178753
STOP::ATENAS,ATENAS,STOP,28.73377083,-106.100252
STOP::AUDITORIO,AUDITORIO,STOP,28.62930289,-106.0826092
STOP::AVICOLA,AVICOLA,STOP,28.61471463,-106.1057809
STOP::BACATETE,BACATETE,STOP,28.57215661,-106.1372336
STOP::BAEZ,BAEZ,STOP,28.69663565,-106.1191798
STOP::BARRANCAS,BARRANCAS,STOP,28.67043594,-106.1329592
STOP::BATOPILAS,BATOPILAS,STOP,28.66508565,-106.1315313
STOP::BRASIL,BRASIL,STOP,28.65630429,-106.1076007
STOP::CAFETALES,CAFETALES,STOP,28.72189931,-106.1481885
STOP::CAMINO_REAL,CAMINO REAL,STOP,28.66783757,-105.9888662
STOP::CAMPANARIO,CAMPANARIO,STOP,28.64406494,-106.1101527
STOP::CAMPESINA,CAMPESINA,STOP,28.61509241,-106.0979352
STOP::CAMPESTRE,CAMPESTRE,STOP,28.63516786,-106.1050063
STOP::CAMPO_BELLO,CAMPO BELLO,STOP,28.70004403,-106.1426492
STOP::CAMPUS_UNIV,CAMPUS UNIV,STOP,28.70218091,-106.1423129
STOP::CARBONEL,CARBONEL,STOP,28.6518927,-106.1039661
STOP::CAROLINAS,CAROLINAS,STOP,28.71303938,-106.0919447
STOP::CERRO_DE_LA_CRUZ,CERRO DE LA CRUZ,STOP,28.61108749,-106.0826398
STOP::CHICHONTEPEC,CHICHONTEPEC,STOP,28.66876152,-106.1171358
STOP::COLINAS,COLINAS,STOP,28.64585741,-106.1171216
STOP::COLON,COLON,STOP,28.67079246,-106.0954965
STOP::CONCORDIA,CONCORDIA,STOP,28.64978069,-106.0285218
STOP::CONGO,CONGO,STOP,28.78140722,-106.1689861
STOP::CONSTITUYENTES,CONSTITUYENTES,STOP,28.68927598,-106.1321363
STOP::CORDILLERA_I,CORDILLERA I,STOP,28.70208006,-106.1491597
STOP::CORDILLERA_NEGRA,CORDILLERA NEGRA,STOP,28.7049327,-106.1492704
STOP::COSMOS,COSMOS,STOP,28.67365748,-106.090989
STOP::CUAUHTEMOC,CUAUHTEMOC,STOP,28.60515382,-106.0954346
STOP::DE_LA_LLAVE,DE LA LLAVE,STOP,28.63013945,-106.0754977
STOP::DEL_COBRE,DEL COBRE,STOP,28.64195325,-106.0680843
STOP::DEPORTISTAS,DEPORTISTAS,STOP,28.69208234,-106.1148913
STOP::DEPORTIVA,DEPORTIVA,STOP,28.65598321,-106.0784724
STOP::DEZA_Y_ULLOA,DEZA Y ULLOA,STOP,28.64442662,-106.0997687
