truck,seq,id,tienda,tipo,arrival_seconds,load_after_cbm,meters
0,0,STOP::KARIKE,KARIKE,STOP,223,0.9,3633.8
0,1,STOP::14_DE_JULIO,14 DE JULIO,STOP,879,1.8,12070.3
0,2,STOP::PRIMERO_DE_MAYO,PRIMERO DE MAYO,STOP,1192,2.7,10633.0
0,3,STOP::MER,MER,STOP,1663,3.6,11479.3
0,4,STOP::ALDAMA,ALDAMA,STOP,2197,4.5,9737.6
0,5,STOP::INDEPENDENCIA,INDEPENDENCIA,STOP,2564,5.4,10908.3
0,6,STOP::GARCIA_VALDEZ,GARCIA VALDEZ,STOP,3022,6.3,7018.7
0,7,STOP::TABALAOPA,TABALAOPA,STOP,3961,7.2,18377.4
0,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,4630,0.0,19014.8
0,9,STOP::MELCHOR_GUASPE,MELCHOR GUASPE,STOP,6608,0.9,12500.7
0,10,STOP::COLINAS,COLINAS,STOP,7291,1.8,8410.0
0,11,STOP::CONSTITUYENTES,CONSTITUYENTES,STOP,7835,2.7,1632.5
0,12,STOP::PANAMA,PANAMA,STOP,8477,3.6,5737.0
0,13,STOP::CONGO,CONGO,STOP,9840,4.5,12491.0
0,14,STOP::OBELISCO,OBELISCO,STOP,10529,5.4,22255.3
0,15,STOP::VILLA_DORADA,VILLA DORADA,STOP,11966,6.3,1919.2
0,16,STOP::RIO_AROS,RIO AROS,STOP,12561,7.2,4138.4
0,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,13876,0.0,19014.8
0,18,STOP::LOS_PORTALES,LOS PORTALES,STOP,16183,0.9,6978.0
0,19,STOP::CAMPANARIO,CAMPANARIO,STOP,17268,1.8,8702.1
0,20,STOP::BACATETE,BACATETE,STOP,18096,2.7,17970.7
0,21,STOP::GUADALUPE,GUADALUPE,STOP,18789,3.6,12705.3
0,22,STOP::PARRAL,PARRAL,STOP,19723,4.5,1453.8
0,23,STOP::ZARAGOZA,ZARAGOZA,STOP,20184,5.4,3278.0
0,24,STOP::SAUCITO,SAUCITO,STOP,20638,6.3,4858.4
0,25,STOP::DUMAS,DUMAS,STOP,21495,7.2,7781.0
0,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,23015,0.0,19014.8
1,0,STOP::PINOS,PINOS,STOP,770,0.9,13438.7
1,1,STOP::LOZANO,LOZANO,STOP,1491,1.8,7728.4
1,2,STOP::KIOSKO,KIOSKO,STOP,2651,2.7,22279.6
1,3,STOP::COSMOS,COSMOS,STOP,3967,3.6,5215.2
1,4,STOP::MAYAGOITIA,MAYAGOITIA,STOP,4783,4.5,13929.6
1,5,STOP::MISION,MISION,STOP,5245,5.4,15637.1
1,6,STOP::OJINAGA,OJINAGA,STOP,5883,6.3,10388.3
1,7,STOP::REFORMA,REFORMA,STOP,6324,7.2,8414.4
1,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,7333,0.0,19014.8
1,9,STOP::ROSALES,ROSALES,STOP,9000,0.9,9332.3
1,10,STOP::CHICHONTEPEC,CHICHONTEPEC,STOP,9699,1.8,3538.0
1,11,STOP::ROSARIO,ROSARIO,STOP,10600,2.7,16348.7
1,12,STOP::ANTONIO_DE_MONTES,ANTONIO DE MONTES,STOP,11193,3.6,8516.5
1,13,STOP::MAJALCA,MAJALCA,STOP,13148,4.5,23192.8
1,14,STOP::SANTUARIO,SANTUARIO,STOP,15160,5.4,13823.1
1,15,STOP::QUINTAS,QUINTAS,STOP,15684,6.3,11424.1
1,16,STOP::GIRASOLES,GIRASOLES,STOP,16639,7.2,15571.7
1,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,17362,0.0,19014.8
1,18,STOP::SAN_MARTIN,SAN MARTIN,STOP,19433,0.9,4542.6
1,19,STOP::REVOLUCION,REVOLUCION,STOP,19708,1.8,3557.4
1,20,STOP::EL_QUIJOTE,EL QUIJOTE,STOP,20232,2.7,5116.7
1,21,STOP::TRIBUNAL_POPULAR,TRIBUNAL POPULAR,STOP,20793,3.6,5385.1
1,22,STOP::URUGUAY,URUGUAY,STOP,21806,4.5,11265.2
1,23,STOP::REAL_CAROLINAS,REAL CAROLINAS,STOP,22432,5.4,8594.3
1,24,STOP::CAMPUS_UNIV,CAMPUS UNIV,STOP,23045,6.3,3145.5
1,25,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,24685,0.0,19014.8
2,0,STOP::SAN_JUDAS,SAN JUDAS,STOP,1562,0.9,25125.5
2,1,STOP::RANCHERIA,RANCHERIA,STOP,2361,1.8,16392.4
2,2,STOP::VALLE_DEL_ANGEL,VALLE DEL ANGEL,STOP,3573,2.7,5895.7
2,3,STOP::MORA,MORA,STOP,4147,3.6,4535.1
2,4,STOP::SAN_RAFAEL,SAN RAFAEL,STOP,4816,4.5,11206.8
2,5,STOP::VOLVO,VOLVO,STOP,5171,5.4,12051.6
2,6,STOP::LLORONES,LLORONES,STOP,6003,6.3,15056.7
2,7,STOP::TRILLENIUM,TRILLENIUM,STOP,6477,7.2,12460.2
2,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,7943,0.0,19014.8
2,9,STOP::LUCERO,LUCERO,STOP,10127,0.9,2580.2
2,10,STOP::HERMES,HERMES,STOP,10701,1.8,4941.4
2,11,STOP::VALLARTA,VALLARTA,STOP,11168,2.7,5027.3
2,12,STOP::LENNY_ROMO,LENNY ROMO,STOP,11964,3.6,7051.9
2,13,STOP::REAL_DE_MINAS,REAL DE MINAS,STOP,12309,4.5,8302.4
2,14,STOP::ROMA,ROMA,STOP,13166,5.4,2990.6
2,15,STOP::FORNARINA,FORNARINA,STOP,13875,6.3,9358.9
2,16,STOP::EL_TORREON,EL TORREON,STOP,14392,7.2,12475.5
2,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,15325,0.0,19014.8
2,18,STOP::IMPERIO,IMPERIO,STOP,17602,0.9,9914.6
2,19,STOP::EVEREST,EVEREST,STOP,18230,1.8,6496.1
2,20,STOP::PONCE_DE_LEON,PONCE DE LEON,STOP,18667,2.7,6097.9
2,21,STOP::SAN_ANGEL,SAN ANGEL,STOP,19456,3.6,7239.4
2,22,STOP::BARRANCAS,BARRANCAS,STOP,19896,4.5,4460.7
2,23,STOP::CAMPESTRE,CAMPESTRE,STOP,20595,5.4,9060.0
2,24,STOP::ZARCO,ZARCO,STOP,21130,6.3,14135.9
2,25,STOP::CAMINO_REAL,CAMINO REAL,STOP,22167,7.2,18804.2
2,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,22961,0.0,19014.8
3,0,STOP::JIMENEZ,JIMENEZ,STOP,110,0.9,1609.9
3,1,STOP::JUAREZ,JUAREZ,STOP,917,1.8,9672.5
3,2,STOP::FLORES_MAGON,FLORES MAGON,STOP,1428,2.7,13735.7
3,3,STOP::MAYA,MAYA,STOP,1883,3.6,14537.6
3,4,STOP::INTERAMERICANA,INTERAMERICANA,STOP,2753,4.5,6971.6
3,5,STOP::PINABETE,PINABETE,STOP,3173,5.4,3874.6
3,6,STOP::NUEVA_ESPAÑA,NUEVA ESPAÑA,STOP,4096,6.3,14537.9
3,7,STOP::ROMANZA,ROMANZA,STOP,5061,7.2,16265.5
3,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,5639,0.0,19014.8
3,9,STOP::DEL_COBRE,DEL COBRE,STOP,7375,0.9,9614.4
3,10,STOP::ESPERANZA,ESPERANZA,STOP,8094,1.8,14429.2
3,11,STOP::DEPORTISTAS,DEPORTISTAS,STOP,9057,2.7,993.9
3,12,STOP::CORDILLERA_I,CORDILLERA I,STOP,9698,3.6,4135.1
3,13,STOP::PEMEX,PEMEX,STOP,10574,4.5,7259.1
3,14,STOP::KENNEDY,KENNEDY,STOP,11458,5.4,16600.8
3,15,STOP::FUENTES_MARES,FUENTES MARES,STOP,11865,6.3,14206.0
3,16,STOP::PUNTA_ORIENTE,PUNTA ORIENTE,STOP,12911,7.2,22950.1
3,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,14138,0.0,19014.8
3,18,STOP::VISTAS_DEL_NORTE,VISTAS DEL NORTE ,STOP,16754,0.9,15614.7
3,19,STOP::NOGALES,NOGALES,STOP,17780,1.8,7107.6
3,20,STOP::MONTES_AMERICANOS,MONTES AMERICANOS,STOP,18682,2.7,7303.4
3,21,STOP::RINCONES,RINCONES,STOP,19006,3.6,9643.2
3,22,STOP::LA_LEONA,LA LEONA,STOP,19775,4.5,1395.9
3,23,STOP::ALAMEDAS,ALAMEDAS,STOP,20264,5.4,5506.0
3,24,STOP::PASEOS,PASEOS,STOP,20656,6.3,3212.0
3,25,STOP::PANORAMICO,PANORAMICO,STOP,21269,7.2,3380.4
3,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,22662,0.0,19014.8
4,0,STOP::PUERTA_DE_HIERRO,PUERTA DE HIERRO,STOP,576,0.9,8269.2
4,1,STOP::MERAZ,MERAZ,STOP,2169,1.8,16511.2
4,2,STOP::OCHOA,OCHOA,STOP,2782,2.7,15475.4
4,3,STOP::HACIENDAS,HACIENDAS,STOP,3377,3.6,8241.2
4,4,STOP::FERRETERA,FERRETERA,STOP,4419,4.5,16976.9
4,5,STOP::MARMOL,MARMOL,STOP,4747,5.4,15217.8
4,6,STOP::DOSTOIEVSKI,DOSTOIEVSKI,STOP,6034,6.3,7033.7
4,7,STOP::ATENAS,ATENAS,STOP,6364,7.2,9292.0
4,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,7739,0.0,19014.8
4,9,STOP::LOS_HUERTOS,LOS HUERTOS,STOP,10101,0.9,5272.6
4,10,STOP::VISTAS_DEL_SOL,VISTAS DEL SOL,STOP,11002,1.8,10050.4
4,11,STOP::OCAMPO,OCAMPO,STOP,11649,2.7,11990.5
4,12,STOP::DOMINICANA,DOMINICANA,STOP,12305,3.6,8262.2
4,13,STOP::MERCURIO,MERCURIO,STOP,12916,4.5,6107.3
4,14,STOP::ROBINSON,ROBINSON,STOP,13379,5.4,10400.2
4,15,STOP::VISTAS_DE_SAN_GUILLERMO,VISTAS DE SAN GUILLERMO,STOP,14204,6.3,20696.4
4,16,STOP::JARDINES_DE_ORIENTE,JARDINES DE ORIENTE,STOP,14936,7.2,19786.7
4,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,15806,0.0,19014.8
4,18,STOP::PASCUAL_OROZCO,PASCUAL OROZCO,STOP,17678,0.9,6431.0
4,19,STOP::ALFREDO_CHAVEZ,ALFREDO CHAVEZ,STOP,18299,1.8,13392.3
4,20,STOP::LA_CAÑADA,LA CAÑADA,STOP,18715,2.7,11390.9
4,21,STOP::LEON,LEON,STOP,19759,3.6,15214.5
4,22,STOP::VILLA_DEL_REY,VILLA DEL REY,STOP,20925,4.5,9492.7
4,23,STOP::VILLA,VILLA,STOP,21685,5.4,1727.9
4,24,STOP::LADERAS,LADERAS,STOP,23314,6.3,24974.6
4,25,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,24849,0.0,19014.8
5,0,STOP::ALTEC,ALTEC,STOP,301,0.9,4511.6
5,1,STOP::CARBONEL,CARBONEL,STOP,805,1.8,5838.2
5,2,STOP::VALLE_ESCONDIDO,VALLE ESCONDIDO,STOP,1371,2.7,9386.1
5,3,STOP::BAEZ,BAEZ,STOP,2184,3.6,934.1
5,4,STOP::REYES,REYES,STOP,2497,4.5,2856.6
5,5,STOP::JUVENTUD,JUVENTUD,STOP,3035,5.4,1735.4
5,6,STOP::MONTE_ALBAN,MONTE ALBAN,STOP,3652,6.3,6804.4
5,7,STOP::ACEQUIAS,ACEQUIAS,STOP,4184,7.2,5694.8
5,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,5713,0.0,19014.8
5,9,STOP::ESTRELLA,ESTRELLA,STOP,7714,0.9,4161.3
5,10,STOP::GUATEMALA,GUATEMALA,STOP,8036,1.8,5314.1
5,11,STOP::MONTECARLO,MONTECARLO,STOP,9100,2.7,8965.8
5,12,STOP::PORTAL_DEL_VALLE,PORTAL DEL VALLE,STOP,11096,3.6,25348.0
5,13,STOP::FERROCARRIL,FERROCARRIL,STOP,11433,4.5,25053.5
5,14,STOP::QUINTA_REAL,QUINTA REAL,STOP,12403,5.4,20965.2
5,15,STOP::JUAN_PABLO_II,JUAN PABLO II,STOP,12983,6.3,14402.6
5,16,STOP::MINERAL,MINERAL,STOP,13942,7.2,8800.2
5,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,15300,0.0,19014.8
5,18,STOP::OJOS_AZULES,OJOS AZULES,STOP,17334,0.9,8864.1
5,19,STOP::OXFORD,OXFORD,STOP,18120,1.8,3115.6
5,20,STOP::RINCONADA,RINCONADA,STOP,18407,2.7,2880.5
5,21,STOP::ALLENDE,ALLENDE,STOP,19216,3.6,9959.1
5,22,STOP::20_DE_NOVIEMBRE,20 DE NOVIEMBRE,STOP,19554,4.5,10082.3
5,23,STOP::DOSMIL,DOSMIL,STOP,20115,5.4,6390.5
5,24,STOP::VICTORIA_II,VICTORIA II,STOP,20616,6.3,8522.1
5,25,STOP::PUNTA_ALAMILLO,PUNTA ALAMILLO,STOP,21802,7.2,22410.0
5,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,23053,0.0,19014.8
6,0,STOP::ARBOLEDAS,ARBOLEDAS,STOP,425,0.9,4641.9
6,1,STOP::SAN_AGUSTIN,SAN AGUSTIN,STOP,961,1.8,6071.7
