truck,seq,id,tienda,tipo,arrival_seconds,load_after_cbm
0,0,STOP::CONSTITUYENTES,CONSTITUYENTES,STOP,215,0.9
0,1,STOP::VILLA_DORADA,VILLA DORADA,STOP,505,1.8
0,2,STOP::RINCONADA,RINCONADA,STOP,765,2.7
0,3,STOP::OXFORD,OXFORD,STOP,1042,3.6
0,4,STOP::ALTEC,ALTEC,STOP,1272,4.5
0,5,STOP::BARRANCAS,BARRANCAS,STOP,1523,5.4
0,6,STOP::BATOPILAS,BATOPILAS,STOP,1791,6.3
0,7,STOP::GUATEMALA,GUATEMALA,STOP,2143,7.2
0,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,3499,0.0
0,9,STOP::JUAREZ,JUAREZ,STOP,5084,0.9
0,10,STOP::PACHECO,PACHECO,STOP,5333,1.8
0,11,STOP::DEL_COBRE,DEL COBRE,STOP,5602,2.7
0,12,STOP::FORNARINA,FORNARINA,STOP,5877,3.6
0,13,STOP::VICTORIA_II,VICTORIA II,STOP,6148,4.5
0,14,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,7146,0.0
0,15,STOP::GIRASOLES,GIRASOLES,STOP,8578,0.9
0,16,STOP::EL_TORREON,EL TORREON,STOP,8984,1.8
0,17,STOP::CONCORDIA,CONCORDIA,STOP,9247,2.7
0,18,STOP::JUAN_PABLO_II,JUAN PABLO II,STOP,9528,3.6
0,19,STOP::AEROPUERTO,AEROPUERTO,STOP,9765,4.5
0,20,STOP::LA_GALERA,LA GALERA ,STOP,10073,5.4
0,21,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,10848,0.0
0,22,STOP::V._CARRANZA,V. CARRANZA,STOP,12605,0.9
0,23,STOP::MINA,MINA,STOP,12813,1.8
0,24,STOP::SAN_RAFAEL,SAN RAFAEL,STOP,13116,2.7
0,25,STOP::INDEPENDENCIA,INDEPENDENCIA,STOP,13383,3.6
0,26,STOP::20_DE_NOVIEMBRE,20 DE NOVIEMBRE,STOP,13651,4.5
0,27,STOP::ROSALES,ROSALES,STOP,13926,5.4
0,28,STOP::SANTA_RITA,SANTA RITA,STOP,14437,6.3
0,29,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,15112,0.0
0,30,STOP::ORTIZ_DE_CAMPOS,ORTIZ DE CAMPOS,STOP,16940,0.9
0,31,STOP::ALDAMA,ALDAMA,STOP,17262,1.8
0,32,STOP::LERDO,LERDO,STOP,17507,2.7
0,33,STOP::R._ALMADA,R. ALMADA,STOP,18167,3.6
0,34,STOP::ZOOTECNIA,ZOOTECNIA,STOP,18568,4.5
0,35,STOP::ZARCO,ZARCO,STOP,19006,5.4
0,36,STOP::FLORES_MAGON,FLORES MAGON,STOP,19261,6.3
0,37,STOP::PRIMERO_DE_MAYO,PRIMERO DE MAYO,STOP,19540,7.2
0,38,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,20715,0.0
0,39,STOP::TABALAOPA,TABALAOPA,STOP,22070,0.9
0,40,STOP::QUINTA_REAL,QUINTA REAL,STOP,22459,1.8
0,41,STOP::PARQUE_DEL_MORO,PARQUE DEL MORO,STOP,22681,2.7
0,42,STOP::ILLINOIS,ILLINOIS,STOP,23084,3.6
0,43,STOP::NEBRASKA,NEBRASKA,STOP,23330,4.5
0,44,STOP::PUNTA_ALAMILLO,PUNTA ALAMILLO,STOP,23769,5.4
0,45,STOP::PUNTA_ORIENTE,PUNTA ORIENTE,STOP,24027,6.3
0,46,STOP::CAMINO_REAL,CAMINO REAL,STOP,24649,7.2
0,47,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,25443,0.0
1,0,STOP::JIMENEZ,JIMENEZ,STOP,110,0.9
1,1,STOP::PARRAL,PARRAL,STOP,347,1.8
1,2,STOP::LA_LEONA,LA LEONA,STOP,612,2.7
1,3,STOP::BAEZ,BAEZ,STOP,842,3.6
1,4,STOP::DEPORTISTAS,DEPORTISTAS,STOP,1100,4.5
1,5,STOP::VILLA,VILLA,STOP,1365,5.4
1,6,STOP::P._SAN_MIGUEL,P. SAN MIGUEL,STOP,1644,6.3
1,7,STOP::KARIKE,KARIKE,STOP,1874,7.2
1,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,3196,0.0
1,9,STOP::MERCURIO,MERCURIO,STOP,5001,0.9
1,10,STOP::COSMOS,COSMOS,STOP,5266,1.8
1,11,STOP::HERMES,HERMES,STOP,5561,2.7
1,12,STOP::TRINIDAD,TRINIDAD,STOP,5831,3.6
1,13,STOP::J._DEL_NORTE,J. DEL NORTE,STOP,6037,4.5
1,14,STOP::ACEROS,ACEROS,STOP,6358,5.4
1,15,STOP::DOSMIL,DOSMIL,STOP,6651,6.3
1,16,STOP::INTERAMERICANA,INTERAMERICANA,STOP,6886,7.2
1,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,7999,0.0
1,18,STOP::VOLVO,VOLVO,STOP,9834,0.9
1,19,STOP::MAYAGOITIA,MAYAGOITIA,STOP,10139,1.8
1,20,STOP::KOP,KOP,STOP,10452,2.7
1,21,STOP::NUEVA_ESPAÑA,NUEVA ESPAÑA,STOP,10717,3.6
1,22,STOP::MARMOL,MARMOL,STOP,10985,4.5
1,23,STOP::FERRETERA,FERRETERA,STOP,11251,5.4
1,24,STOP::KENNEDY,KENNEDY,STOP,11490,6.3
1,25,STOP::FCO._PORTILLO,FCO. PORTILLO,STOP,11758,7.2
1,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,12994,0.0
1,27,STOP::MASCOTAS,MASCOTAS,STOP,14862,0.9
1,28,STOP::VISTAS_DE_SAN_GUILLERMO,VISTAS DE SAN GUILLERMO,STOP,15236,1.8
1,29,STOP::TOPACIO,TOPACIO,STOP,15519,2.7
1,30,STOP::LADERAS,LADERAS,STOP,16137,3.6
1,31,STOP::PORTAL_DEL_VALLE,PORTAL DEL VALLE,STOP,16423,4.5
1,32,STOP::FERROCARRIL,FERROCARRIL,STOP,16760,5.4
1,33,STOP::AQUILES_SERDAN,AQUILES SERDAN,STOP,17276,6.3
1,34,STOP::JARDINES_DE_ORIENTE,JARDINES DE ORIENTE,STOP,18204,7.2
1,35,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,19074,0.0
1,36,STOP::DEPORTIVA,DEPORTIVA,STOP,20816,0.9
1,37,STOP::GARCIA_VALDEZ,GARCIA VALDEZ,STOP,21157,1.8
1,38,STOP::DIV._DEL_NORTE,DIV. DEL NORTE,STOP,21387,2.7
1,39,STOP::VARSOVIA,VARSOVIA,STOP,21696,3.6
1,40,STOP::MIRADOR,MIRADOR,STOP,21910,4.5
1,41,STOP::SEMINARIO,SEMINARIO,STOP,22221,5.4
1,42,STOP::AUDITORIO,AUDITORIO,STOP,22468,6.3
1,43,STOP::OJINAGA,OJINAGA,STOP,22703,7.2
1,44,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,23872,0.0
2,0,STOP::SAN_SEBASTIAN,SAN SEBASTIAN,STOP,452,0.9
2,1,STOP::CORDILLERA_NEGRA,CORDILLERA NEGRA,STOP,722,1.8
2,2,STOP::CORDILLERA_I,CORDILLERA I,STOP,950,2.7
2,3,STOP::VILLAS_DEL_SOL,VILLAS DEL SOL,STOP,1213,3.6
2,4,STOP::CAMPO_BELLO,CAMPO BELLO,STOP,1434,4.5
2,5,STOP::CAMPUS_UNIV,CAMPUS UNIV,STOP,1662,5.4
2,6,STOP::JUVENTUD,JUVENTUD,STOP,1952,6.3
2,7,STOP::SAN_ANGEL,SAN ANGEL,STOP,2464,7.2
2,8,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,3964,0.0
2,9,STOP::UNIVERSIDAD,UNIVERSIDAD,STOP,5739,0.9
2,10,STOP::LOZANO,LOZANO,STOP,5993,1.8
2,11,STOP::ANTONIO_DE_MONTES,ANTONIO DE MONTES,STOP,6317,2.7
2,12,STOP::ALLENDE,ALLENDE,STOP,6618,3.6
2,13,STOP::DE_LA_LLAVE,DE LA LLAVE,STOP,6828,4.5
2,14,STOP::OCAMPO,OCAMPO,STOP,7132,5.4
2,15,STOP::MAYA,MAYA,STOP,7512,6.3
2,16,STOP::FUENTES_MARES,FUENTES MARES,STOP,7955,7.2
2,17,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,9070,0.0
2,18,STOP::REFORMA,REFORMA,STOP,10752,0.9
2,19,STOP::RIO_AROS,RIO AROS,STOP,11281,1.8
2,20,STOP::JUAN_ESCUTIA,JUAN ESCUTIA,STOP,11515,2.7
2,21,STOP::INFONAVIT,INFONAVIT,STOP,11955,3.6
2,22,STOP::CHICHONTEPEC,CHICHONTEPEC,STOP,12324,4.5
2,23,STOP::IGLESIAS,IGLESIAS,STOP,12572,5.4
2,24,STOP::ESTRELLA,ESTRELLA,STOP,12803,6.3
2,25,STOP::VALLARTA,VALLARTA,STOP,13125,7.2
2,26,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,14404,0.0
2,27,STOP::ISABELLA,ISABELLA,STOP,16838,0.9
2,28,STOP::SANTUARIO,SANTUARIO,STOP,17262,1.8
2,29,STOP::ALFREDO_CHAVEZ,ALFREDO CHAVEZ,STOP,17608,2.7
2,30,STOP::CUAUHTEMOC,CUAUHTEMOC,STOP,17918,3.6
2,31,STOP::CERRO_DE_LA_CRUZ,CERRO DE LA CRUZ,STOP,18242,4.5
2,32,STOP::OCHOA,OCHOA,STOP,18521,5.4
2,33,STOP::ROSARIO,ROSARIO,STOP,18788,6.3
2,34,STOP::MELCHOR_GUASPE,MELCHOR GUASPE,STOP,19057,7.2
2,35,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,20310,0.0
2,36,STOP::EVEREST,EVEREST,STOP,22359,0.9
2,37,STOP::CAROLINAS,CAROLINAS,STOP,22625,1.8
2,38,STOP::SAN_MARTIN,SAN MARTIN,STOP,22949,2.7
2,39,STOP::REYES,REYES,STOP,23296,3.6
2,40,STOP::REVOLUCION,REVOLUCION,STOP,23545,4.5
2,41,STOP::TRIBUNAL_POPULAR,TRIBUNAL POPULAR,STOP,23820,5.4
2,42,STOP::MONTE_ALBAN,MONTE ALBAN,STOP,24165,6.3
2,43,STOP::GRUTAS,GRUTAS,STOP,24429,7.2
2,44,LANDFILL::RELLENO_SANITARIO,RELLENO SANITARIO,LANDFILL,25660,0.0
3,0,STOP::LUCERO,LUCERO,STOP,261,0.9
