id,DEPOT::DIPACSA,LANDFILL::RELLENO_SANITARIO,STOP::14_DE_JULIO,STOP::20_DE_NOVIEMBRE,STOP::ACEQUIAS,STOP::ACEROS,STOP::AEROPUERTO,STOP::ALAMEDAS,STOP::ALDAMA,STOP::ALFREDO_CHAVEZ,STOP::ALLENDE,STOP::ALTEC,STOP::AMAZONAS,STOP::ANTONIO_DE_MONTES,STOP::AMERICAS,STOP::AQUILES_SERDAN,STOP::ARBOLEDAS,STOP::ATENAS,STOP::AUDITORIO,STOP::AVICOLA,STOP::BACATETE,STOP::BAEZ,STOP::BARRANCAS,STOP::BATOPILAS,STOP::BRASIL,STOP::CAFETALES,STOP::CAMINO_REAL,STOP::CAMPANARIO,STOP::CAMPESINA,STOP::CAMPESTRE,STOP::CAMPO_BELLO,STOP::CAMPUS_UNIV,STOP::CARBONEL,STOP::CAROLINAS,STOP::CERRO_DE_LA_CRUZ,STOP::CHICHONTEPEC,STOP::COLINAS,STOP::COLON,STOP::CONCORDIA,STOP::CONGO,STOP::CONSTITUYENTES,STOP::CORDILLERA_I,STOP::CORDILLERA_NEGRA,STOP::COSMOS,STOP::CUAUHTEMOC,STOP::DE_LA_LLAVE,STOP::DEL_COBRE,STOP::DEPORTISTAS,STOP::DEPORTIVA,STOP::DEZA_Y_ULLOA,STOP::DIV._DEL_NORTE,STOP::DOMINICANA,STOP::DOSMIL,STOP::DOSTOIEVSKI,STOP::DUMAS,STOP::EL_QUIJOTE,STOP::EL_TORREON,STOP::ENTRONQUE,STOP::ESPERANZA,STOP::ESTRELLA,STOP::EVEREST,STOP::FCO._PORTILLO,STOP::FERRETERA,STOP::FERROCARRIL,STOP::FLORES_MAGON,STOP::FORNARINA,STOP::FUENTES_MARES,STOP::GARCIA_VALDEZ,STOP::GIRASOLES,STOP::GOMEZ_MORIN,STOP::GRUTAS,STOP::GUADALUPE,STOP::GUATEMALA,STOP::HACIENDAS,STOP::HERMES,STOP::HUANCUNE,STOP::IGLESIAS,STOP::ILLINOIS,STOP::IMPERIO,STOP::INDEPENDENCIA,STOP::INDUSTRIAL,STOP::INFONAVIT,STOP::INSURGENTES,STOP::INTERAMERICANA,STOP::ISABELLA,STOP::J._DEL_NORTE,STOP::JARDINES_DE_ORIENTE,STOP::JESUS_RENTERIA,STOP::JIMENEZ,STOP::JUAN_ESCUTIA,STOP::JUAN_PABLO_II,STOP::JUAREZ,STOP::JUVENTUD,STOP::KARIKE,STOP::KENNEDY,STOP::KIOSKO,STOP::KOP,STOP::LA_CAÑADA,STOP::LA_GALERA,STOP::LADERAS,STOP::LA_LEONA,STOP::LAS_AGUILAS,STOP::LAS_MISIONES,STOP::LENNY_ROMO,STOP::LEON,STOP::LERDO,STOP::LINCE,STOP::LLORONES,STOP::LOS_HUERTOS,STOP::LOS_LLANOS,STOP::LOS_PORTALES,STOP::LOZANO,STOP::LUCERO,STOP::MARMOL,STOP::MASCOTAS,STOP::MAJALCA,STOP::MAYA,STOP::MAYAGOITIA,STOP::MEDICINA,STOP::MELCHOR_GUASPE,STOP::MER,STOP::MERAZ,STOP::MERCURIO,STOP::MINA,STOP::MINERAL,STOP::MIRADOR,STOP::MISION,STOP::MOHINORA,STOP::MONTE_ALBAN,STOP::MONTECARLO,STOP::MONTES_AMERICANOS,STOP::MORA,STOP::NEBRASKA,STOP::NOGALES,STOP::NUEVA_ESPAÑA,STOP::OBELISCO,STOP::OCAMPO,STOP::OCHOA,STOP::OJINAGA,STOP::OJOS_AZULES,STOP::ORTIZ_DE_CAMPOS,STOP::ORTIZ_MENA,STOP::OXFORD,STOP::P._SAN_MIGUEL,STOP::PACHECO,STOP::PALMAS,STOP::PANAMA,STOP::PANORAMICO,STOP::PARQUE_DEL_MORO,STOP::PARRAL,STOP::PASCUAL_OROZCO,STOP::PASEO_DEL_REAL,STOP::PASEOS,STOP::PEMEX,STOP::PIMENTEL,STOP::PINABETE,STOP::PINOS,STOP::PLAN_DE_AYALA,STOP::PONCE_DE_LEON,STOP::PORTAL_DEL_VALLE,STOP::PRIMERO_DE_MAYO,STOP::PUERTA_DE_HIERRO,STOP::PUNTA_ORIENTE,STOP::PUNTA_ALAMILLO,STOP::QUINTA_REAL,STOP::QUINTAS,STOP::R._ALMADA,STOP::RANCHERIA,STOP::REAL_CAROLINAS,STOP::REAL_DE_MINAS,STOP::REFORMA,STOP::REVOLUCION,STOP::REYES,STOP::RINCONADA,STOP::RINCONES,STOP::RIO_AROS,STOP::ROBINSON,STOP::ROMA,STOP::ROMANZA,STOP::ROSALES,STOP::ROSARIO,STOP::SAN_AGUSTIN,STOP::SAN_ANGEL,STOP::SAN_JUDAS,STOP::SAN_MARTIN,STOP::SAN_RAFAEL,STOP::SAN_SEBASTIAN,STOP::SANTA_RITA,STOP::SANTUARIO,STOP::SEMINARIO,STOP::SAUCITO,STOP::SORBONA,STOP::TABALAOPA,STOP::TERRAGONA,STOP::TERRAZAS,STOP::TOPACIO,STOP::TRIBUNAL_POPULAR,STOP::TRILLENIUM,STOP::TRINIDAD,STOP::UNIVERSIDAD,STOP::URUGUAY,STOP::V._CARRANZA,STOP::VALLARTA,STOP::VALLE_DEL_ANGEL,STOP::VALLE_ESCONDIDO,STOP::VARSOVIA,STOP::VIALIDAD_CH-P,STOP::VICTORIA_II,STOP::VILLA,STOP::VILLA_DEL_REY,STOP::VILLA_DORADA,STOP::VILLAS_DEL_REAL,STOP::VILLAS_DEL_SOL,STOP::VISTAS_DE_SAN_GUILLERMO,STOP::VISTAS_DEL_NORTE,STOP::VISTAS_DEL_SOL,STOP::VOLVO,STOP::ZARAGOZA,STOP::ZARCO,STOP::ZOOTECNIA
DEPOT::DIPACSA,0.0,1349.9,683.0,667.8,439.5,426.8,923.9,443.2,607.7,702.2,622.4,301.3,826.3,585.6,495.3,1382.4,425.2,556.6,661.1,706.4,975.1,117.4,359.9,370.7,431.7,429.2,1194.8,569.8,789.6,636.4,390.3,364.5,493.8,462.7,812.4,362.8,563.3,346.3,833.3,824.1,215.9,415.4,439.7,399.0,778.3,653.1,642.6,135.6,476.6,510.2,495.4,544.2,451.9,487.4,597.7,424.2,788.2,1337.5,791.0,385.7,560.9,1025.6,1078.0,1503.3,761.6,667.2,901.5,455.1,992.0,571.3,505.5,761.1,461.6,585.2,394.6,410.3,357.1,1304.9,664.3,739.8,543.3,230.0,453.1,476.6,1028.1,285.3,1213.7,1162.6,110.8,286.8,890.0,624.7,320.2,223.4,1075.5,1387.9,939.5,685.3,1038.6,1522.3,162.9,445.7,499.1,484.8,1031.5,673.3,545.1,822.9,456.8,1130.0,525.0,531.6,261.0,1027.9,1129.4,1394.9,931.2,860.6,404.4,810.6,688.3,1080.3,536.5,627.7,620.3,607.6,1010.5,582.1,497.3,666.0,500.1,251.1,1336.6,510.2,950.9,1220.6,742.0,818.3,657.3,608.5,571.1,446.6,250.7,172.9,590.9,585.1,501.0,342.0,1216.4,168.5,415.9,587.4,334.6,466.3,300.5,251.0,770.8,1154.4,436.8,1546.6,672.2,576.4,1540.3,1501.3,1258.5,651.8,1125.7,1077.2,585.3,631.9,593.8,271.5,202.3,301.5,606.2,313.4,659.3,311.6,984.1,611.2,878.0,370.3,460.5,1562.7,337.4,733.0,452.3,876.8,815.7,729.3,383.0,529.9,1065.4,596.8,737.4,1395.0,367.1,615.9,311.8,591.9,738.3,663.8,383.1,404.1,606.9,592.5,742.1,554.0,171.1,635.3,229.6,533.6,376.1,1305.2,977.7,565.9,779.6,297.7,800.9,886.3
LANDFILL::RELLENO_SANITARIO,1347.5,0.0,1065.7,857.3,1300.2,981.6,716.0,1296.8,958.6,1198.6,973.3,1390.1,1792.9,960.3,1115.7,1297.0,1185.7,1184.9,980.0,1159.5,1462.5,1236.3,1309.0,1230.4,1049.4,1381.5,671.1,1110.1,1172.3,1133.1,1440.7,1414.9,1068.7,1054.8,1060.5,1203.9,1132.1,996.0,769.7,1790.7,1388.4,1506.5,1490.1,991.6,1169.6,1004.0,836.2,1272.2,842.3,1030.1,969.6,1096.3,911.8,1267.2,1293.8,1313.4,741.2,734.5,1278.4,1101.1,1149.7,1033.0,1113.2,1342.0,1009.7,866.1,936.7,985.8,532.0,877.9,1046.2,1143.8,1107.1,1262.7,1015.4,1155.4,1136.3,913.6,1377.4,976.8,808.6,1287.9,1055.0,884.1,1534.2,1085.6,690.0,1181.5,1216.9,1130.0,736.7,685.0,1400.7,1158.0,1082.9,1302.5,1009.5,1130.5,697.8,1361.0,1259.5,1152.0,1225.0,1279.9,552.3,940.7,1052.1,1310.3,1462.2,1137.4,1407.3,890.8,1284.0,1057.9,968.1,2142.0,1186.6,890.6,1054.1,1078.4,1190.9,1152.8,905.9,886.5,1155.0,952.5,1158.9,1331.3,1027.6,1550.5,1221.3,1154.8,945.3,1199.9,980.9,1967.7,1010.9,1066.4,1008.2,1134.3,928.1,1064.3,1354.5,1192.6,747.1,1062.6,1122.7,1146.7,690.4,1248.7,972.6,1336.6,1431.2,894.1,1063.5,1069.8,1220.6,1161.8,1228.1,1385.3,972.2,1447.0,1057.3,1056.9,648.1,1146.4,1355.8,1084.6,1423.5,1159.6,782.2,1141.4,1203.0,1425.8,1330.7,1076.0,745.5,1201.7,417.4,767.4,1126.1,977.3,1288.5,1477.3,1171.7,970.7,1481.6,527.8,1321.8,1048.2,1238.3,1203.1,455.0,1382.7,1160.3,1233.7,1099.4,1183.2,1060.3,875.2,1704.9,857.6,1061.3,1262.4,1328.1,971.1,1191.9,769.5,1175.7,1348.4,1452.4,1282.8,1447.3,1143.9,1716.2,1262.7,935.8,1176.2,1081.8,1336.1
STOP::14_DE_JULIO,676.9,1085.4,0.0,273.8,878.5,605.5,652.0,882.2,176.8,201.2,188.8,529.7,1265.3,270.9,357.5,981.1,450.4,837.5,121.0,127.6,503.5,664.3,453.9,411.1,328.0,837.9,922.9,245.5,112.3,181.6,739.5,713.7,269.2,707.4,205.4,477.8,299.7,464.3,561.4,1263.1,538.4,776.8,788.9,518.5,220.2,219.5,276.5,683.1,376.9,179.8,247.8,305.1,535.7,919.8,946.4,863.2,516.3,1073.0,319.4,379.7,802.3,624.3,553.0,1204.0,129.7,289.5,496.8,293.5,720.1,288.3,698.8,83.1,371.8,230.8,542.3,420.1,414.9,1033.0,1030.0,289.5,390.5,575.5,255.8,508.0,527.1,612.5,941.8,636.5,644.9,598.3,618.1,360.2,684.0,565.2,612.1,986.6,444.2,98.6,766.7,1250.4,683.9,427.9,320.4,923.8,767.0,186.9,187.5,351.3,803.6,609.2,964.0,298.3,521.2,531.1,857.5,1833.9,405.1,483.0,350.7,284.5,159.0,554.2,529.8,271.0,807.6,160.9,484.4,983.9,680.2,1105.0,360.3,537.0,1064.7,852.5,498.4,1659.6,255.6,204.0,173.1,786.9,243.7,285.7,479.1,603.3,314.7,114.8,324.9,425.3,944.5,676.7,329.8,989.2,755.7,457.3,490.9,525.8,277.7,750.6,833.5,1274.7,133.6,1015.4,1268.4,1229.4,988.9,138.6,536.0,675.9,1024.3,812.2,299.5,668.3,693.6,550.4,298.8,544.3,387.4,523.8,719.6,335.0,263.7,445.6,384.0,1161.4,738.7,346.2,799.1,612.3,314.7,132.8,445.0,278.5,800.9,1035.3,210.9,1123.1,723.3,151.3,587.2,233.6,1177.3,269.8,446.0,379.5,467.1,173.0,249.0,289.5,603.7,1001.0,591.0,935.4,731.3,1033.3,1416.7,230.8,473.5,511.3,150.1,393.2
STOP::20_DE_NOVIEMBRE,716.9,888.3,281.7,0.0,827.7,451.7,408.7,824.3,230.4,376.0,196.6,727.2,1292.3,245.8,468.7,802.5,555.1,712.4,250.3,409.3,639.9,605.7,651.4,599.8,418.8,895.2,679.6,403.0,385.2,430.2,856.3,830.5,380.4,582.3,237.9,573.3,425.0,365.4,318.1,1290.1,735.9,922.1,905.7,419.7,347.0,200.8,72.1,641.6,211.7,323.0,262.5,389.2,381.9,794.7,821.3,840.9,273.0,875.9,455.8,470.5,677.2,445.7,498.1,988.1,187.1,128.3,321.6,297.5,476.8,195.9,573.7,339.8,476.5,512.5,443.5,524.8,505.7,789.7,904.9,154.2,218.0,657.3,366.7,354.2,754.5,513.7,698.5,594.2,586.3,499.4,374.8,163.1,816.3,527.4,495.6,808.0,338.2,380.3,523.4,1007.1,628.9,521.4,517.9,807.4,569.9,118.1,345.0,487.7,943.2,550.1,934.8,217.7,653.4,448.0,614.2,1860.9,376.4,280.7,387.9,255.8,422.4,525.5,376.0,63.9,682.5,249.6,455.7,858.8,555.1,1078.0,514.2,524.2,821.4,727.4,371.0,1686.6,188.3,243.8,215.5,661.8,218.6,399.4,676.6,562.0,128.7,359.7,415.6,516.1,701.2,618.1,293.1,864.1,800.6,337.4,432.9,439.2,398.0,574.5,734.7,1031.4,149.6,974.5,1025.1,986.1,745.6,420.3,570.9,497.3,951.0,687.1,173.5,569.5,594.7,747.9,580.5,445.4,229.4,571.1,522.5,95.5,303.5,346.7,581.4,982.8,664.3,148.0,938.7,415.2,542.1,259.6,607.7,496.0,565.6,910.2,337.7,879.8,569.5,433.0,488.4,153.0,1204.3,35.0,411.1,577.0,621.0,268.2,369.3,138.9,545.1,875.9,788.5,810.3,862.9,790.0,1443.7,512.5,199.7,545.6,259.2,513.5
STOP::ACEQUIAS,462.4,1349.3,930.1,835.7,0.0,452.1,915.7,38.3,848.8,917.9,863.5,517.0,681.7,857.4,767.4,1450.1,715.3,187.4,870.2,922.1,1190.8,358.3,575.6,586.4,714.3,270.3,1186.6,847.8,1022.6,919.0,442.2,416.4,776.4,335.2,1038.9,662.2,782.4,558.5,825.1,679.5,475.5,471.5,423.5,490.1,994.0,894.2,822.2,423.5,686.4,792.8,767.2,824.1,535.2,47.9,208.4,54.9,780.0,1336.9,1006.7,688.3,283.6,1166.5,1218.9,1495.1,988.1,853.6,1042.4,726.9,983.8,768.7,364.5,1008.2,712.9,800.9,467.0,661.6,659.7,1296.7,253.7,948.2,628.8,580.1,735.7,552.8,1243.8,379.1,1205.5,1315.0,403.5,464.0,881.8,730.3,433.9,511.3,1216.4,1455.6,1120.4,920.6,1030.4,1514.1,345.2,748.3,714.8,117.7,1030.9,911.9,827.7,1038.6,351.0,1270.9,261.7,784.1,551.1,1168.8,1121.2,1250.3,1169.8,1001.5,692.3,1049.2,904.0,1263.7,612.7,836.1,251.1,842.7,1249.1,171.5,352.4,429.8,715.8,539.0,1328.4,141.0,1091.8,1076.0,980.6,1044.8,898.4,230.8,818.3,729.2,500.1,460.8,733.1,867.7,787.6,644.6,1208.2,373.4,687.7,176.8,230.9,578.7,588.4,538.9,986.5,1295.3,121.6,1538.4,910.3,331.3,1532.1,1493.1,1252.6,934.4,1364.3,1218.1,308.5,262.7,698.8,279.4,346.8,561.9,821.9,462.4,651.1,599.5,983.5,753.4,1104.5,580.1,676.2,1630.4,228.1,941.4,369.0,876.2,1031.4,938.4,650.4,745.6,1064.8,267.7,953.1,1386.8,334.7,831.6,362.5,765.4,593.7,836.0,652.2,619.8,822.6,861.3,957.8,757.0,456.6,224.7,490.0,123.0,448.8,1297.0,833.1,781.6,920.5,585.6,1016.6,1102.0
STOP::ACEROS,450.3,1064.0,626.0,484.9,451.6,0.0,630.4,448.2,518.9,765.1,533.6,563.0,990.9,527.9,475.2,1164.8,545.2,444.7,540.3,691.5,1067.4,345.0,601.8,562.3,408.9,579.5,901.3,551.0,732.6,613.6,540.7,514.9,471.0,200.9,688.1,476.8,559.4,270.9,539.8,988.7,503.1,606.5,590.1,200.6,797.2,564.3,463.8,361.7,381.0,487.4,461.8,525.4,113.1,418.6,489.0,464.8,494.7,1051.6,883.3,457.6,299.1,809.4,861.8,1209.8,637.3,493.7,685.3,421.5,698.5,438.8,240.4,704.1,466.6,711.7,190.5,514.9,471.1,1011.4,572.6,604.4,249.8,418.9,430.3,130.7,1091.0,141.1,920.2,957.9,325.6,207.1,596.5,397.2,500.7,331.1,859.3,1170.3,763.3,662.5,745.1,1228.8,368.2,511.5,599.2,443.6,745.6,568.3,522.3,915.2,631.6,913.8,605.3,468.2,458.8,811.7,835.9,1559.5,826.6,644.4,413.6,706.0,722.9,906.6,190.6,506.2,414.8,512.8,905.9,528.5,235.5,745.7,665.7,358.8,1043.1,401.5,734.7,1385.2,638.5,694.0,568.5,373.4,488.4,423.8,512.4,299.6,374.7,562.3,482.2,456.0,922.9,313.3,382.3,533.8,536.8,201.5,322.0,297.7,848.2,938.2,328.1,1253.1,580.4,642.2,1246.8,1207.8,967.3,629.0,1021.1,861.0,618.7,419.4,364.2,196.9,258.5,580.6,745.2,213.0,365.8,413.6,698.2,395.0,753.7,274.7,683.3,1345.1,271.7,598.3,628.5,590.9,878.6,608.5,559.8,630.4,779.5,577.9,787.9,1101.5,117.8,724.0,115.8,435.5,902.9,485.2,362.7,621.9,772.5,531.4,819.5,397.1,284.4,543.6,556.8,480.8,547.3,1011.7,1142.3,731.5,563.4,405.4,709.4,963.7
STOP::AEROPUERTO,1022.6,703.0,687.3,467.4,958.5,639.9,0.0,955.1,635.5,730.9,624.1,1095.2,1451.2,644.5,820.8,652.0,890.8,843.2,656.9,802.3,985.6,911.4,1014.1,935.5,754.5,1039.8,284.4,801.7,756.9,810.0,1099.0,1073.2,773.8,713.1,579.4,909.0,823.7,671.1,187.1,1449.0,1071.2,1164.8,1148.4,649.9,688.6,628.3,495.6,947.3,547.4,721.7,661.2,787.9,570.1,925.5,952.1,971.7,196.9,696.1,802.3,806.2,808.0,388.0,468.2,697.0,556.6,551.8,291.7,690.9,343.3,555.4,704.5,737.1,812.2,901.1,673.7,860.5,841.4,498.6,1035.7,461.0,466.9,963.0,760.1,542.4,1109.4,743.9,303.3,536.5,892.0,805.1,91.7,427.0,1059.0,833.1,437.9,657.5,364.5,785.9,128.2,716.0,934.6,857.1,916.6,938.2,623.6,541.6,743.7,833.4,1120.5,492.4,1065.6,595.9,989.1,412.9,323.1,2019.8,541.6,245.6,759.2,440.3,777.3,507.8,564.2,496.6,813.3,629.4,513.9,989.6,685.9,1208.8,912.9,829.9,530.3,858.2,335.9,1845.5,502.4,559.3,646.1,792.6,605.0,769.4,1059.6,867.7,483.9,739.5,814.3,851.8,306.0,916.1,677.7,994.9,1095.1,552.4,738.6,744.9,737.9,516.8,886.4,740.3,574.6,1105.3,670.6,670.2,350.4,823.3,710.8,439.6,1081.8,817.9,488.6,799.7,861.3,1130.9,969.1,751.1,319.0,876.8,495.4,433.4,531.7,648.3,980.1,832.3,830.0,427.5,1139.9,515.2,897.0,655.2,943.4,894.7,281.9,1041.0,698.0,588.7,757.7,838.6,718.6,552.1,1363.2,467.7,753.5,967.5,1019.7,648.0,709.2,506.3,850.8,1006.7,1115.1,941.1,1105.6,498.9,1602.6,918.1,319.3,851.3,630.9,853.4
STOP::ALAMEDAS,444.1,1355.3,911.8,841.7,6.0,458.1,921.7,0.0,854.8,899.6,869.5,498.7,687.3,855.2,749.1,1456.1,697.0,193.4,876.2,903.8,1172.5,340.0,557.3,568.1,701.3,275.9,1192.6,829.5,1004.3,906.0,426.0,400.2,763.4,341.2,1044.9,643.9,764.1,564.5,831.1,685.1,457.2,453.2,405.2,496.1,975.7,900.2,828.2,405.2,692.4,779.8,765.0,805.8,541.2,53.9,214.0,36.6,786.0,1342.9,988.4,670.0,289.6,1172.5,1224.9,1501.1,994.1,859.6,1048.4,724.7,989.8,774.7,370.5,989.9,694.6,782.6,473.0,643.3,641.4,1302.7,259.3,954.2,634.8,561.8,722.7,558.8,1225.5,385.1,1211.5,1321.0,385.2,470.0,887.8,736.3,415.6,493.0,1222.4,1461.6,1126.4,902.3,1036.4,1520.1,326.9,730.0,696.5,123.3,1036.9,917.9,814.7,1020.3,355.2,1276.9,267.3,790.1,532.8,1174.8,1127.2,1255.9,1175.8,1007.5,674.0,1055.2,885.7,1269.7,618.7,842.1,257.1,848.7,1255.1,177.1,358.4,435.4,697.5,520.7,1334.4,147.0,1097.8,1081.6,986.6,1050.8,904.4,236.8,824.3,716.2,481.8,442.5,739.1,854.7,774.6,626.3,1214.2,379.4,685.5,182.4,212.6,584.7,570.1,520.6,968.2,1301.3,127.6,1544.4,916.3,336.9,1538.1,1499.1,1258.6,921.4,1370.3,1224.1,314.1,268.7,704.8,285.4,352.8,543.6,803.6,468.4,657.1,581.2,989.5,759.4,1110.5,586.1,657.9,1636.4,234.1,947.4,350.7,882.2,1013.1,944.4,632.1,727.3,1070.8,273.3,934.8,1392.8,340.7,813.3,368.5,771.4,599.3,842.0,652.7,601.5,804.3,862.1,939.5,763.0,446.4,230.3,471.7,128.6,432.6,1303.0,838.7,763.3,926.5,567.3,998.3,1083.7
STOP::ALDAMA,707.5,930.3,196.6,144.7,865.8,493.7,540.3,862.4,0.0,342.8,14.7,718.7,1282.9,237.4,435.6,869.7,535.0,750.5,107.8,324.2,606.7,596.3,642.9,579.7,398.7,885.8,811.2,332.2,308.9,335.5,846.9,821.1,347.3,620.4,204.7,553.2,386.4,385.0,449.7,1280.7,727.4,912.7,896.3,444.7,313.8,45.4,110.1,632.2,231.3,274.3,253.5,380.7,423.9,832.8,859.4,879.0,404.6,917.9,422.6,450.4,715.3,512.9,471.4,1092.6,153.9,123.1,385.4,264.4,608.4,174.6,611.8,254.7,456.4,427.4,468.5,504.7,485.6,921.3,943.0,187.5,260.0,646.2,333.6,396.2,719.8,538.7,830.1,554.9,576.9,519.0,506.4,205.1,806.9,518.0,530.5,875.2,332.8,295.2,655.0,1138.7,619.5,501.3,509.4,845.5,611.9,65.6,274.2,454.5,933.8,527.6,972.9,184.6,633.3,449.5,745.8,1851.5,323.5,387.7,354.8,202.9,355.6,472.6,418.0,104.6,720.6,154.9,402.8,896.9,593.2,1116.1,505.7,524.5,953.0,765.5,387.0,1677.2,134.3,210.6,49.6,699.9,197.9,371.0,668.1,552.6,148.3,265.0,407.1,496.0,832.8,608.7,260.0,902.2,791.2,380.9,433.2,457.8,364.8,641.7,759.7,1163.0,64.5,1012.6,1156.7,1117.7,838.9,335.2,518.0,564.5,989.1,725.2,212.5,594.5,614.3,739.4,495.4,465.0,275.7,550.8,564.5,168.6,270.3,366.3,554.0,1050.0,689.3,209.9,929.3,457.2,507.4,173.1,587.6,453.8,645.8,948.3,304.5,1011.4,611.5,347.9,513.4,119.9,1194.9,140.7,378.0,568.5,612.5,167.0,336.1,158.5,535.7,914.0,780.0,848.4,853.5,921.6,1434.3,427.4,337.0,525.3,226.0,480.3
STOP::ALFREDO_CHAVEZ,710.3,1274.2,258.2,385.9,911.9,794.7,718.1,915.6,422.7,0.0,401.6,563.1,1298.7,519.3,434.5,1009.3,530.1,991.3,330.5,180.4,327.6,730.4,487.3,444.5,504.1,871.3,989.0,413.1,175.3,359.7,772.9,747.1,447.3,897.4,212.9,511.2,346.3,642.4,704.0,1296.5,571.8,810.2,822.3,696.6,130.1,425.7,458.0,716.5,564.2,357.9,425.9,451.3,724.9,959.8,1032.4,896.6,658.9,1261.8,143.5,554.2,995.6,687.0,604.5,1232.2,223.7,493.5,559.5,471.6,862.7,536.7,947.2,262.7,492.4,264.2,720.4,466.2,579.4,1103.2,1116.0,401.6,603.9,660.2,433.9,697.2,487.5,790.6,1007.9,628.2,718.2,776.4,724.0,549.0,717.4,674.4,663.6,1014.8,506.9,236.3,832.8,1320.6,717.3,561.2,353.8,957.2,955.8,336.6,365.6,175.4,837.0,600.9,997.4,546.7,554.6,593.8,927.7,1867.3,467.8,545.7,528.8,347.2,155.4,545.9,719.0,394.9,1055.0,403.0,527.9,1054.5,928.6,1138.4,393.7,682.2,1134.9,944.9,561.1,1693.0,357.0,267.0,385.9,1035.3,492.1,463.8,512.5,712.5,514.6,292.9,476.2,564.3,1010.6,752.8,507.9,1059.8,789.1,635.4,669.0,702.0,95.5,742.3,871.5,1320.8,320.7,1048.8,1338.6,1299.6,1055.0,316.7,571.3,738.6,1057.7,1060.6,547.9,830.5,785.4,583.8,332.2,722.4,615.3,641.7,908.4,481.4,326.7,623.7,417.4,1189.6,772.1,454.9,832.5,801.1,275.1,322.3,478.4,311.9,951.5,1069.2,62.1,1193.3,896.9,210.7,765.3,482.0,1210.7,381.9,624.1,412.9,500.5,396.7,66.8,524.8,667.6,1087.0,624.4,1006.0,764.7,1103.5,1450.1,286.8,562.1,663.6,148.1,211.0
